,poi_name,names,pid
0,12 Service Battalion Museum,12 Service Battalion Museum,ChIJhwQHwzh1hlQRJdE3ZdQPI9I
1,15th Field Artillery Regiment Museum And Archives,15th Field Artillery Regiment Museum And Archives,ChIJpdEUnLBzhlQR0ome6cv5el8
2,221A Artist Run Centre,can not find,0
3,7302754 Canada Inc,can not find,0
4,Abc Heritage Preschool And Child Care,Abc Heritage Preschool And Child Care,ChIJF3ZMao7RhVQRYMRn09PBo34
5,Adamsons Heritage Nursery Ltd,Adamsons Heritage Nursery Ltd,ChIJQfsQ7fOLfVMRcUmdvbgiS-Y
6,Agassiz Library,Agassiz Library,ChIJNaGyI2sThFQRQ33H2ji42y4
7,Ahva Gallery,Ahva Gallery,ChIJaUbtlrVyhlQREWwxkqr-Y9A
8,Aldergrove Festival Days Society,Aldergrove Festival Days Society,ChIJ_2qFN77LhVQRnDAtPFnP5GI
9,Aldergrove Library,Aldergrove Library,ChIJnUQ_GcLLhVQR45Ya8rbkqjs
10,Alliance For Arts And Culture,Alliance For Arts And Culture,ChIJ5WClfNVzhlQR18C_tp4-Ny0
11,Amelia Douglas Gallery,Amelia Douglas Gallery,ChIJyU3u9XHYhVQRPy86XwYQp_M
12,Angie Au Hemphill Studio,can not find,0
13,Anvil Centre/Museum And Archives,Anvil Centre/Museum And Archives,ChIJVWdV0gzYhVQRObpum5rNjd0
14,Anza Club (Australia-New Zealand Association),Anza Club (Australia-New Zealand Association),ChIJfbmDXuBzhlQRBgWCKERYmME
15,Architectural Institute of BC Gallery,Architectural Institute of BC Gallery,ChIJkUVKKXhxhlQRLvKX6Ir1X8w
16,Archives of Anglican Provincial Synod of British Columbia And Diocese of New Westminster,Archives of Anglican Provincial Synod of British Columbia And Diocese of New Westminster,ChIJJW_2ZI50j1QR2bAlyZ-B9-Q
17,Art Beatus,Art Beatus,ChIJI6T7EtVzhlQRkZ-X3oqE714
18,Art Club/Bard On Beach Production Centre Theatre,Art Club/Bard On Beach Production Centre Theatre,ChIJZ94eAGJxhlQRk8117dtiqow
19,Art Emporium,Art Emporium,ChIJq1etJL9zhlQRyQVGHdYMuGg
20,Art Works Gallery,Art Works Gallery,ChIJX2rajmXtfVMR4izo8BW6l7U
21,Arteclectica Gallery,Arteclectica Gallery,ChIJywNQ7UJxhlQR_nV7WeI51TY
22,Artist In Residence,Artist In Residence,ChIJM-Vqau_YfVMRiUzcKvU6fO4
23,Artists In the Boro,Artists In the Boro,ChIJ-8jff44KlVQRc90g8HTsV_A
24,Arts & Cultural Centre,Arts & Cultural Centre,ChIJxfYIp1jzfVMROE9rb_Ceasg
25,Arts Club Theatre - Granville Island Stage,Arts Club Theatre - Granville Island Stage,ChIJj6Jmb85zhlQRbdUEOydci3o
26,Arts Club Theatre - Revue Stage,Arts Club Theatre - Revue Stage,ChIJj6Jmb85zhlQRbdUEOydci3o
27,Arts Club Theatre - Stanley Industrial Alliance Stage,Arts Club Theatre - Stanley Industrial Alliance Stage,ChIJOUzupLhzhlQRIOQ9G20eido
28,Artspeak Gallery,Artspeak Gallery,ChIJ16ZETXdxhlQRT7OGxnNnn1Y
29,Artstarts In Schools,Artstarts In Schools,ChIJjW7NaX5xhlQRHwpvPmkoDf8
30,Astorino's Hall,Astorino's Hall,ChIJ2bl0Hz5xhlQRlDKnsxOcHNs
31,Audain Gallery,Audain Gallery,ChIJzcNq7rI8h1QR43bcyDi5xrc
32,Ayden Gallery,Ayden Gallery,ChIJ6SNusXtxhlQRK8N9J0jL0Kw
33,Back Gallery Project,Back Gallery Project,ChIJefqr9m1xhlQRZTckcy8tQWY
34,Baf Studio,Baf Studio,ChIJoTaT0ajZB0ERYazB_j279ik
35,Basic Inquiry,Basic Inquiry,ChIJlzjIE2VxhlQRqrbFvxb0mXw
36,Bau-Xi Gallery,Bau-Xi Gallery,ChIJ9fwx4r5zhlQR3yJ5jk5pT5Y
37,BC Farm Machinery & Agricultural Museum Association,BC Farm Machinery & Agricultural Museum Association,ChIJBT3fCvbShVQRbwojVzpHyl8
38,BC Golf House Society,BC Golf House Society,ChIJvVzcmehyhlQRf5N4JB1DnUE
39,BC Regiment (Duke of Connaught's Own) Museum,BC Regiment (Duke of Connaught's Own) Museum,ChIJzzDVintxhlQR4vqB2PIfxAE
40,BC Sports Hall of Fame Museum,BC Sports Hall of Fame Museum,ChIJn0O2T3xxhlQRXXnanXyhFdk
41,Bearga Gallery,Bearga Gallery,ChIJpTf3SqTThVQRTHW_KFewEgA
42,Beaty Biodiversity Museum,Beaty Biodiversity Museum,ChIJsZ1NB8pyhlQRw4-fikYyFFU
43,Bel Art Gallery,Bel Art Gallery,ChIJ1Y3UFVl7hlQR1c74ffFJ1FM
44,Bella Coola Branch,Bella Coola Branch,ChIJOan-hJB5elQRvDdNBAnASKo
45,Big Lake,Big Lake,ChIJNbawY3YnoFMRb2lcOEqiDE4
46,Bill Reid Centre For Northwest Coast Studies At Simon Fraser University,Bill Reid Centre For Northwest Coast Studies At Simon Fraser University,ChIJJyJ6hcB5hlQRW7Uwbj9sUAA
47,Bill Reid Gallery,Bill Reid Gallery,ChIJ09HC74FxhlQRHyXyCAa8AJQ
48,Birthplace of BC Gallery,Birthplace of BC Gallery,ChIJKwuuKFnShVQR9c5T3OvERRE
49,Bloedel Conservatory,Bloedel Conservatory,ChIJnwmhxIpzhlQRr3heOBl69fg
50,Bob Prittie Metrotown Library,Bob Prittie Metrotown Library,ChIJu0r6z-x2hlQR8MFjWyu90J8
51,Bowser Branch,Bowser Branch,ChIJ0zPiM0dhiFQR1hVyKdb_Xvo
52,Brenda Lee Fairfax,can not find,0
53,Britannia,Britannia,ChIJpftXJxvffVMRbIoOK0-GJrc
54,Britannia Shipyards National Historic Site,Britannia Shipyards National Historic Site,ChIJiyw6atDhhVQRM01c7wOOBQY
55,British Columbia History of Nursing Society,British Columbia History of Nursing Society,ChIJ_UC0XMpxhlQRjquJR378Oxs
56,Brookswood Library,Brookswood Library,ChIJ0ScsWprPhVQRqAM-8i_pd-g
57,Bully's Studios Inc,Bully's Studios Inc,ChIJi-qTaXLYhVQR20wsramdr9k
58,Burnaby Art Gallery,Burnaby Art Gallery,ChIJF4VB4Ad3hlQRPqMcPvho50A
59,Burnaby Village Museum,Burnaby Village Museum,ChIJA288NqZ3hlQRdrlOknfGAMk
60,Burns Lake Public Library,Burns Lake Public Library,ChIJ51IO_ZgPdlQRaXtmrUMEzd0
61,Cameron,Cameron,ChIJ9ZqP6QKLfVMRqWY06d94l3E
62,Cameron Library,Cameron Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4
63,Campbell River Branch,Campbell River Branch,ChIJjVYeBbyoYlQRDvG5ZSvMq6k
64,Canadian Lacrosse Hall of Fame & Museum,Canadian Lacrosse Hall of Fame & Museum,ChIJXVkBWfyBC0EREYC1W74KCko
65,Canadian Museum Flight Association,Canadian Museum Flight Association,ChIJlzyfJ0bOhVQRHLgf-fCQIGw
66,Canadian Museum of Flight Association,Canadian Museum of Flight Association,ChIJlzyfJ0bOhVQRHLgf-fCQIGw
67,Canadian Music Centre (BC Region),Canadian Music Centre (BC Region),ChIJjaOMidRzhlQRnK4h2w8Alqc
68,Canadian Society of Asian Arts,Canadian Society of Asian Arts,ChIJ_UE1KHd0hlQRYQfX7uiYkuI
69,Candice James,Candice James,ChIJEfCRon3tfVMRpPGNBbl5qHw
70,Capilano College Performing Arts Theatre,Capilano College Performing Arts Theatre,ChIJl69lZ219C0ERajxofG1-6vc
71,Capilano University Archives,Capilano University Archives,ChIJU1APZn5whlQRJVnpclbjnNA
72,Carnegie Centre Theatre,Carnegie Centre Theatre,ChIJefCGwHBxhlQRGkC-RJTPtUo
73,Catriona Jeffries Gallery,Catriona Jeffries Gallery,ChIJhUS8sGBxhlQRbBJxBu7_Dbs
74,Cbc Studio 700,can not find,0
75,Centennial Theatre,Centennial Theatre,ChIJmUtgCD1whlQRmo9aipB5yKU
76,Central Branch,Central Branch,ChIJ6d-gkKf0fVMR9RSlz7s7g1o
77,Central Saanich Branch,Central Saanich Branch,ChIJSTSeUqVuj1QRzlgyEnDiToI
78,Centre A - Centre For Contemporary Asian Art,Centre A - Centre For Contemporary Asian Art,ChIJ36zlvedzhlQRnOYpQMJH0-Q
79,Chali-Rosso Gallery,Chali-Rosso Gallery,ChIJyVcY08dzhlQRLqFmehyfQ5k
80,Champlain Heights,Champlain Heights,ChIJFX49J9Z1hlQRHJYa_VcMfvI
81,Chan Centre For the Performing Art - Concert Hall,Chan Centre For the Performing Art - Concert Hall,ChIJiV8337ByhlQRDOnSXQyGjYk
82,Chapel Arts,Chapel Arts,ChIJGYPjjXFxhlQRj9M9svy1ySU
83,Charles H. Scott Gallery,Charles H. Scott Gallery,ChIJaUgDss9zhlQRfgG43UIlj74
84,Chinese Canadian Military Museum,Chinese Canadian Military Museum,ChIJA-15uaf0fVMRex7GplcJw_I
85,Chinese Cultural Centre Museum And Archives,Chinese Cultural Centre Museum And Archives,ChIJX8hzfXpxhlQRXw-cLYmgyBM
86,Cineplex Odeon International Village Cinemas,Cineplex Odeon International Village Cinemas,ChIJ6SNusXtxhlQRLmdNxRgcgxA
87,Circle Craft Co-Operative Shop & Gallery,Circle Craft Co-Operative Shop & Gallery,ChIJ_zVCDYNxhlQR4cvQdGTfcG0
88,City of Richmond Archives,City of Richmond Archives,ChIJt-nv48kKhlQRgXgtGA-kHYY
89,City of Vancouver Archives,City of Vancouver Archives,ChIJb5FE0cxzhlQRhNcsezlkRiA
90,Cityscape Community Art Space,Cityscape Community Art Space,ChIJA0D6AkxwhlQRGfQKJp9Kmzo
91,Coastal Peoples Fine Arts Gallery Gastown,Coastal Peoples Fine Arts Gallery Gastown,ChIJB33QRtZzhlQRraPO8GCrqWw
92,Coastal Peoples Fine Arts Gallery Yaletown,Coastal Peoples Fine Arts Gallery Yaletown,ChIJB33QRtZzhlQRraPO8GCrqWw
93,Colbourne House/ Marpole Museum,Colbourne House/ Marpole Museum,ChIJZTIn6-p0hlQRp8C26vJN2nU
94,Collingwood,Collingwood,ChIJ5TpY6tt7KogRIKeLM-hhvtk
95,Coquitlam Heritage Society Operating Mackin House,Coquitlam Heritage Society Operating Mackin House,ChIJl2CNVXJ4hlQRE3nLB9oxCHY
96,Coquitlam Public Library,Coquitlam Public Library,ChIJGcziDIp4hlQRaNwWl3wP8-s
97,Cowichan Branch,Cowichan Branch,ChIJ__-_ZGdPj1QRj1bcCpEtbb8
98,Craft Council of British Columbia Gallery,Craft Council of British Columbia Gallery,ChIJPQ6zHM9zhlQRJi__mFYu6nA
99,Cumberland Branch,Cumberland Branch,ChIJ507BpUkViFQRZP16I6i27SU
100,Cynthia Jennifer Smith,Cynthia Jennifer Smith,ChIJWVjfnjsewVQRApO9RFv6Tr0
101,David M. Adams,David M. Adams,ChIJq2miiyyNfVMRwIRAHvm5lgQ
102,David Mcfarland,David Mcfarland,ChIJk_BB3KpukFQRFzBvXD0DzMg
103,Dee Spencer Native Art,Dee Spencer Native Art,ChIJtwIUx8dzhlQRmN-hjQzn3Xg
104,Deep Cove Heritage Society,Deep Cove Heritage Society,ChIJt2EnC1J6hlQRyN6Ao6Wo2xI
105,Deep Cove Shaw Theatre,Deep Cove Shaw Theatre,ChIJhcEpdVJ6hlQR2lMO19cVNS8
106,Delphi Custom Theatres Inc,Delphi Custom Theatres Inc,ChIJyTGYeNXRhVQRNb07Q-FnTkk
107,Delta Museum And Archives Society,Delta Museum And Archives Society,ChIJ19wKwunghVQRHJTzfCZ8s_4
108,Djavad Mowafaghian Cinema,Djavad Mowafaghian Cinema,ChIJdxvOhUhwhlQRBhf74FZiTSQ
109,Doctor Vigari Gallery,Doctor Vigari Gallery,ChIJfcNAp0dxhlQRV0LrL8RjRUc
110,Dogma Portraits,Dogma Portraits,ChIJUecmOIrf3IARgwfO7s5xBtI
111,Dorothy Somerset Studio Theatre,Dorothy Somerset Studio Theatre,ChIJr_GGv7VyhlQRs4Ff7PhxsHA
112,Douglas Reynolds Gallery,Douglas Reynolds Gallery,ChIJtwIUx8dzhlQRmN-hjQzn3Xg
113,Douglas Udell Gallery,Douglas Udell Gallery,ChIJy5BkeshzhlQRyWgX0BFE8jE
114,Dr. Sun Yat-Sen Classical Chinese Garden,Dr. Sun Yat-Sen Classical Chinese Garden,ChIJ8ToMkXpxhlQRYqJG8pg7rQI
115,Dunbar,Dunbar,ChIJIcImAKn0fVMRAEVn4-bj3Q0
116,Dundarave Print Workshop & Gallery,Dundarave Print Workshop & Gallery,ChIJbwuKZc5zhlQRYLbPe2ErWi4
117,Dynamo Arts Association,Dynamo Arts Association,ChIJz1JVS4Z-C0ERI1BkLAMxfgM
118,Eagle Spirit Gallery,Eagle Spirit Gallery,ChIJDRs7885zhlQRnvQXHXNF-aA
119,Eileen Kernaghan,can not find,0
120,Elissa Cristall Galleries,can not find,0
121,Elizabeth Elwood,Elizabeth Elwood,ChIJl5AclRfZfVMRvZj8FN3loHY
122,Emily Carr Institute of Art + Design 1612 Gallery,Emily Carr Institute of Art + Design 1612 Gallery,ChIJH6WXuV1xhlQR0PSIpGhUQ0o
123,Equinox Gallery,Equinox Gallery,ChIJORQNxsdzhlQRkjsytcr0cXE
124,Esquimalt Branch,Esquimalt Branch,ChIJm5SkLVBzj1QRk0CGz-2emhI
125,Euro Artistic Metals Ltd,Euro Artistic Metals Ltd,ChIJfUmd1iXShVQR7h7m8g-08Rk
126,Evergreen Cultural Centre Society,Evergreen Cultural Centre Society,ChIJlQY3OzB_hlQR6gdzsnFqLBE
127,Famous Players Limited Partnership (Theatre),Famous Players Limited Partnership (Theatre),ChIJ7xetL8iMfVMREN1HB2GbjRs
128,Fanclub,Fanclub,ChIJs2OIbXpxhlQRyUuPWmarndg
129,Fang-Chih Liao,can not find,0
130,Federation Gallery,Federation Gallery,ChIJN05VLndzhlQRFl5m84NzW0Y
131,Fei & Milton Wong Experimental Theatre,Fei & Milton Wong Experimental Theatre,ChIJwV6Ui3lxhlQRhgPt5mpbTdM
132,Ferry Building Gallery,Ferry Building Gallery,ChIJVcGhLxpuhlQRoiuGJ1DIu44
133,Field Contemporary,Field Contemporary,ChIJZ3UV-uBzhlQRPmPr47mY-qw
134,Film2Frame Studio Gallery,Film2Frame Studio Gallery,ChIJXxAlvYPZhVQRCrE3LaoDNgw
135,Firehall Arts Centre,Firehall Arts Centre,ChIJaxqNCXFxhlQRwFj7lwMLrUw
136,Firehall Branch,Firehall Branch,ChIJh_Vsb8dzhlQRo3zWwxVDwbI
137,Fort Langley National Historic Site of Canada,Fort Langley National Historic Site of Canada,ChIJF-k71PXShVQR95AdMtgF0OU
138,Fort Nelson Public Library,Fort Nelson Public Library,ChIJbVyG4JKt7lMROU9UVXp1zns
139,Fort St. James Centennial Library,Fort St. James Centennial Library,ChIJL-Q-46ehiVMRebd8o41jMJU
140,Fort St. John Public Library Association,Fort St. John Public Library Association,ChIJXyitgI82klMRGlwuUhyOa6s
141,Fortune Sound Club,Fortune Sound Club,ChIJzRKRZXBxhlQRnjhd0FkQyqk
142,"Franci Louann, Poet, Mentor, Proofreader",can not find,0
143,Fraser River Discovery Centre,Fraser River Discovery Centre,ChIJDwDMWG7YhVQRDOdiVlW9kuk
144,Fraserview,Fraserview,ChIJqW57tcF1hlQRCFnyi2kJn_U
145,Frederic Wood Theatre,Frederic Wood Theatre,ChIJ4RTE_bNyhlQRUehTTwHx3lA
146,Freeflow Scenics Studio,Freeflow Scenics Studio,ChIJI6oCgRivYlQRXegKguqttog
147,Gabor Gasztonyi Studio & Gallery,Gabor Gasztonyi Studio & Gallery,ChIJ48zyBtd3hlQRbWDAHjW6LGA
148,Galiano Island Community Library,Galiano Island Community Library,ChIJr2ExZ6X3hVQR1nPQCgaLUjY
149,Gallery 295,Gallery 295,ChIJcSdxn2BxhlQRS7VtLJ8H2rE
150,Gallery Gachet,Gallery Gachet,ChIJQ8xfv3BxhlQRO0J7RqkHBZ0
151,Gallery Jones,Gallery Jones,ChIJR2S_phBuhlQRM9-rkVuzQcA
152,Gallery Jones,Gallery Jones,ChIJR2S_phBuhlQRM9-rkVuzQcA
153,Gallery of BC Ceramics,Gallery of BC Ceramics,ChIJMS4BBM9zhlQRJ-OzcFtoZ5A
154,Gallery-The Spa Ltd,Gallery-The Spa Ltd,ChIJY2LSRN93hlQRLjk-Fbz02nQ
155,Gam Gallery,Gam Gallery,ChIJwzlQjnBxhlQR3ZgakIaQo1M
156,Gillian Wright,Gillian Wright,ChIJEfCRon3tfVMRpPGNBbl5qHw
157,Gms Observatory,Gms Observatory,ChIJSYNqWTNyhlQR7CmhWOWNXA4
158,Golden Branch,Golden Branch,ChIJUX8VGJq_eVMRyBLTgSFKd3k
159,Gordon Smith Gallery of Canadian Art,Gordon Smith Gallery of Canadian Art,ChIJV-ynPTxwhlQROsYq03Gr-yw
160,Granisle Public Library,Granisle Public Library,ChIJ_aJb3695ilMRd25PBqhMFtk
161,Granville Fine Arts,Granville Fine Arts,ChIJPYxOsoVzhlQRnkQ_J9VR3lM
162,Granville Island Gallery,Granville Island Gallery,ChIJN1YA885zhlQRTZ_euOE8v9w
163,Greater Vancouver Regional District Parks Department,Greater Vancouver Regional District Parks Department,ChIJYz1i8F2LfVMR2gLPDG0qkGg
164,Grunt Gallery,Grunt Gallery,ChIJfdHGal5xhlQRyxsO2eYBmlc
165,Guildford,Guildford,ChIJmwp0OTHZfVMRhO1SgozmPoQ
166,Gulf of Georgia Cannery National Historic Site,Gulf of Georgia Cannery National Historic Site,ChIJZTvdPXYKhlQRCqHE9q0UWUA
167,Guy Allen,Guy Allen,ChIJWyqcILbCEYgRNDphf9WyFKw
168,H.R. Macmillan Space Centre,H.R. Macmillan Space Centre,ChIJX-DfNzNyhlQR76LZl5hs5bc
169,Haney House Museum,Haney House Museum,ChIJqcPV-WbThVQRYXFXFAkU7Hw
170,Harrison Galleries,Harrison Galleries,ChIJD6k9B35xhlQRptWzT3rMpN8
171,Hastings,Hastings,ChIJcym6LrdG00wRjPOR0joKjhg
172,Hastings Mill Store Museum,Hastings Mill Store Museum,ChIJaZKdbldyhlQRZkfvBTEVjpU
173,Hatch Art Gallery,Hatch Art Gallery,ChIJ68YmydVzhlQReJ_7HXAqYtY
174,Havana Gallery,Havana Gallery,ChIJW_TA7R3TD4gRc-WJnJfGezo
175,Havana Theatre,Havana Theatre,ChIJz-KODz9xhlQRtVWCFPnJBpY
176,Heffel Gallery Ltd,Heffel Gallery Ltd,ChIJJUncl-VvcVMRUBp4ncld7uE
177,Heidi Zolty,can not find,0
178,Hendry Hall Theatre,can not find,0
179,Heritage Chiropractic & Laser Therapy,Heritage Chiropractic & Laser Therapy,ChIJuSz6is9AhFQR9X9fLTmEMK4
180,Heritage Christian School,Heritage Christian School,ChIJJ0T1dS-NfVMRIK_DDvUV3vE
181,Heritage Circle Installations Ltd,Heritage Circle Installations Ltd,ChIJjbVI6ZKJblMRWzGmIeqMpqo
182,Heritage Creek Design,Heritage Creek Design,ChIJBZ1vPACPn1MR0BDJqzbOE6U
183,Heritage Drywall Ltd,Heritage Drywall Ltd,ChIJXYHTAkbRhVQRMhrSka58jy4
184,Heritage Electric Ltd,Heritage Electric Ltd,ChIJa8tWF3PUhVQRh7xTMNjXhGM
185,Heritage House Rescue & Restoration,Heritage House Rescue & Restoration,ChIJqeIljM0mTIYRgNCmu5kVCJM
186,Heritage Life Drawing Society,Heritage Life Drawing Society,ChIJT1B9B2VxhlQRZ7rjot6ql6Q
187,Heritage Meats Ltd,Heritage Meats Ltd,ChIJiTIe2S3QhVQRXLP-SkMz0Sk
188,Heritage Mountain Community Centre,Heritage Mountain Community Centre,ChIJwcqorMx-hlQRuk1nZVfEQVs
189,Heritage Restoration Inc,Heritage Restoration Inc,ChIJXXMG4hoBkVQRHK22je3revQ
190,Heritage Steel Sales Ltd,Heritage Steel Sales Ltd,ChIJVQU7ql_RhVQRm93iNKIQTvE
191,Highland Dance With Miss Kathleen,Highland Dance With Miss Kathleen,ChIJ_8L4uolzj1QRsdYqeHYp1cg
192,Hill's Native Art,Hill's Native Art,ChIJgUeKGsJFj1QR_0vwJDqp7U4
193,Historic Stewart Farm,Historic Stewart Farm,ChIJmURORKjchVQRxhGwzQzdkfo
194,Historical Museum,Historical Museum,ChIJOaJuMqb0fVMR5msW3yRcs2A
195,Hornby Island Branch,Hornby Island Branch,ChIJDxn7nm5liFQRI1tpdimM-pU
196,Hot Art Wet City,Hot Art Wet City,ChIJD9iPk19xhlQRvtpfI-EdMrw
197,Hudson's Hope Public Library,Hudson's Hope Public Library,ChIJRwdJ3N6KjVMRC1HQr-xaCWA
198,Ian Tan Gallery,Ian Tan Gallery,ChIJnQwCK8ZzhlQR5i2qTdpKDRU
199,Ice Box Gallery,Ice Box Gallery,ChIJ08rDWXFxhlQRIjddEzSWw-o
200,Il Museo,Il Museo,ChIJr95Zbsp2hlQRgCV_lfL0Hk0
201,Improv Centre,Improv Centre,ChIJ1-Gui85zhlQRM2tVpv6iMAs
202,Institute For Stained Glass In Canada,Institute For Stained Glass In Canada,ChIJoVMQS7g3K4gR0hnGrUadQTk
203,Interurban Gallery,Interurban Gallery,ChIJs4tSC3pxhlQR7bVH_vbMDok
204,Inuit Gallery of Vancouver,Inuit Gallery of Vancouver,ChIJW9JVzHlxhlQRg6J1F0sdmi4
205,Italian Cultural Centre Society,Italian Cultural Centre Society,ChIJr95Zbsp2hlQRgCV_lfL0Hk0
206,James Black Gallery,James Black Gallery,ChIJy3nr9F9xhlQRbdqCqDEVj9A
207,James Tan Gallery,James Tan Gallery,ChIJQWJXgHBxhlQRFdT693d-Qig
208,Janet Kvammen,can not find,0
209,Jennifer Kostuik Gallery,Jennifer Kostuik Gallery,ChIJxcyXZdZzhlQRIVHgfNIWXIA
210,Jericho Arts Centre,Jericho Arts Centre,ChIJo07lSfFyhlQRVnQVLKkME6Y
211,Jerry Mclaughlin,Jerry Mclaughlin,ChIJHZXMe9lPAYcR6_UT_OC1SfE
212,Jewish Historical Society of Bc,Jewish Historical Society of Bc,ChIJta5c93h0hlQRkn_YaPX2VOw
213,Jienelyn Dimatatac,can not find,0
214,Joann Heringer,can not find,0
215,Joe Fortes,Joe Fortes,ChIJiUwIWIBxhlQRzKG3k_9C-T8
216,Jonina Lynn Kirton,can not find,0
217,Juan De Fuca Branch,Juan De Fuca Branch,ChIJ0RG78oN0j1QRKhkG5TiLcPM
218,Judith Berlin,Judith Berlin,ChIJr1F8oIFQqEcRID0cFwLJKJo
219,Judith Copland,Judith Copland,ChIJx_b-igR4hlQRokvxIrR-084
220,Kate Colbourn,can not find,0
221,Kensington,Kensington,ChIJpZRhkeWJglQRh8CE0RmS9lM
222,Keremeos Branch,Keremeos Branch,ChIJ5c6LFwflglQRzToIZNAbq1M
