,poi_name,names,pid
223,Kerrisdale,Kerrisdale,ChIJU26xVGVzhlQRnWelOsO5RnE
224,Khot-La-Cha Art Gallery,Khot-La-Cha Art Gallery,ChIJM1OZs9txhlQRVhI25fM3l_A
225,Kimberley Public Library,Kimberley Public Library,ChIJERMk7PDUZFMRFwmTZbdg16s
226,Kits Point Military History Museum,Kits Point Military History Museum,ChIJiVHFdzNyhlQRjW3eJ2KKZM0
227,Kitsilano,Kitsilano,ChIJaakf77JzhlQRKLsSHv5SUBc
228,Kizmit Gift Gallery Inc,Kizmit Gift Gallery Inc,ChIJfW6FLfbShVQRSra14rGz3jY
229,Krachel Art,Krachel Art,ChIJp11hTTd1glQRSSkSRL9dS1w
230,Kube Gallery,Kube Gallery,ChIJtVjU3k3hhVQRZnBN-P3mSqI
231,Kw Atrium Studio,Kw Atrium Studio,ChIJL5hTiXlxhlQR1vaApu3pflw
232,Kyle Mckillop,Kyle Mckillop,ChIJd2qwi8eHblMRdjGJe4GkZA8
233,Labyrinth Gallery,Labyrinth Gallery,ChIJ4TGFyaJqkFQRD8t78mJUEGE
234,Lac La Hache,Lac La Hache,ChIJqyilIXBhgFMR-1d9lDZ9fz8
235,Langley Centennial Museum,Langley Centennial Museum,ChIJaajwdPbShVQRik-zbZqyktE
236,Lanta Meng,Lanta Meng,ChIJayway_d3hlQRgcg1WuSmO3k
237,Lattimer Gallery,Lattimer Gallery,ChIJYX-6P8lzhlQRzOxgwTC5Eho
238,Laura C. Muir Performing Arts Theatre,Laura C. Muir Performing Arts Theatre,ChIJ_1sgl3HYhVQRhOjmf7KaOBs
239,Legacy Heritage Consultants,Legacy Heritage Consultants,ChIJubjX_u9YwokR-VXaRUV-HOI
240,Library,Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4
241,Library,Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4
242,Library Link,Library Link,ChIJvzLVnn3tfVMRqh1Wz9uzJK4
243,Lillooet Public Library,Lillooet Public Library,ChIJIbpoxTeKgFQRNYWm44xZpQY
244,Lipsett Glazing Systems Inc,Lipsett Glazing Systems Inc,ChIJOzCGX-h3hlQRxHmWfw3JcY0
245,Lisa Bunting,Lisa Bunting,ChIJd00enZ27uokR1vEFILIBn7o
246,Little Mountain Gallery,Little Mountain Gallery,ChIJb13tafdzhlQR2arL0KyjZZI
247,Lobby Gallery,Lobby Gallery,ChIJt5tlDAH1fVMRaF2ok5EoX3k
248,Lorrie Wager,can not find,0
249,Lynn Canyon Ecology Centre,Lynn Canyon Ecology Centre,ChIJ9_uZd5x6hlQRmKO8qgiyZ3s
250,Lynn Valley Heritage Museum And Archives,Lynn Valley Heritage Museum And Archives,ChIJWTqqraB6hlQRAX6xAuOtI8Q
251,Main Branch,Main Branch,ChIJjZb74Kj0fVMRFqsry92g9XA
252,Make Gallery,Make Gallery,ChIJ9f3ZsFjzfVMRFCXPWEcBhJA
253,Malaspina Printmakers Gallery,Malaspina Printmakers Gallery,ChIJRxH4is5zhlQRo4VTD-Bg3CE
254,Malkin Bowl,Malkin Bowl,ChIJY2kX8IxxhlQRMtQP6o-w-sY
255,Maple Ridge And Pitt Meadows Arts Council,Maple Ridge And Pitt Meadows Arts Council,ChIJj9FSWV7ThVQRHWXsr0btQ4I
256,Maple Ridge Museum,Maple Ridge Museum,ChIJF_K5z2fThVQRWdiwdo-HF8E
257,Margo Prentice Stand-Up Comic,can not find,0
258,"Margo Prentice, Golden Age Theatre, Artistic Director",can not find,0
259,Marilyn Norry,can not find,0
260,Marion Scott Gallery,Marion Scott Gallery,ChIJLYQCM3hxhlQR-qSOuoni8Bs
261,Marpole,Marpole,ChIJjTdY9e10hlQRcJvGNd1RUx8
262,Marya Mclellan,can not find,0
263,Massey Theatre,Massey Theatre,ChIJEXcdR27YhVQRDW-AvTKmIIA
264,Massey Theatre Society,Massey Theatre Society,ChIJEXcdR27YhVQRDW-AvTKmIIA
265,Mcgill Library,Mcgill Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4
266,Mcleese Lake,Mcleese Lake,ChIJqWEAyvRMh1MRG6rDrIVf6CI
267,Metro Theatre,Metro Theatre,ChIJPW1thul0hlQRf5GRVd2Ogo4
268,Midway Public Library,Midway Public Library,ChIJlQ6VmLJUnVQRliCspddZbvc
269,Monte Clark Gallery,Monte Clark Gallery,ChIJN0Znx8dzhlQRgJHRIKMC2rA
270,Morris And Helen Belkin Art Gallery,Morris And Helen Belkin Art Gallery,ChIJVY5dUbFyhlQR1d6WsHMdgs0
271,Mount Pleasant,Mount Pleasant,ChIJI6554F5xhlQRBuVvIo-0v8A
272,Muriel Arnason Library (Willowbrook),Muriel Arnason Library (Willowbrook),ChIJAej8GNHRhVQRpRhFg2hEua8
273,Murrayville Library,Murrayville Library,ChIJDaHO8VDOhVQRG53n6s8kD_U
274,Museum,Museum,ChIJNemrRZXyfVMRC5PKpXN6YqM
275,Museum Annex,Museum Annex,ChIJ19wKwunghVQRHJTzfCZ8s_4
276,Museum of Anthropology,Museum of Anthropology,ChIJrf8w27NyhlQR44St4PQccfY
277,Museum of Original Costume The,Museum of Original Costume The,ChIJvacc-9l1j1QRt72V6STWesA
278,Museum of Surrey,Museum of Surrey,ChIJAaLgLAjQhVQRBAq1YXF0erg
279,Museum of Vancouver,Museum of Vancouver,ChIJHZSzNzNyhlQRzmus61cqE5Y
280,Music Box Music And Theatre Academy,Music Box Music And Theatre Academy,ChIJo7E9C3LYhVQRxjNZ3FFDpy0
281,Naramata Branch,Naramata Branch,ChIJ6QUMc0l7glQRdSqO7Qhxyd4
282,National Nikkei Museum - Heritage Centre,National Nikkei Museum - Heritage Centre,ChIJLyeICDV2hlQRLTTkKjyW6co
283,New West Artists Society,New West Artists Society,ChIJm9gL3eF3hlQRYLounZbUyJE
284,New West Heritage Hall,New West Heritage Hall,ChIJkeF8B9d3hlQRzcuQoJnmfWE
285,New Westminster Historical Society,New Westminster Historical Society,ChIJ5zj2mXPYhVQRE0rdictytQI
286,New Westminster Hyack Festival Association,New Westminster Hyack Festival Association,ChIJ3_dUV27YhVQRDRDCJhd-K0M
287,New Westminster Museum & Archives,New Westminster Museum & Archives,ChIJVWdV0gzYhVQRObpum5rNjd0
288,New Westminster Public Library,New Westminster Public Library,ChIJg5gsWpHYhVQRPucjR13zSvw
289,New Westminster Public Library And Archives,New Westminster Public Library And Archives,ChIJjUW1sNh3hlQRpPVardz4bQY
290,Newton Cultural Centre,Newton Cultural Centre,ChIJg3tcYy3ahVQRM481SSfsI28
291,Norman Rothstein Theatre,Norman Rothstein Theatre,ChIJta5c93h0hlQRQdc4TV2xxbY
292,North Vancouver Museum & Archives,North Vancouver Museum & Archives,ChIJBQq4UFdxhlQR4j6AUCgfCos
293,Oblates of Mary Immaculate St. Paul's Province -Oblate Archives,can not find,0
294,Old Auditorium,Old Auditorium,ChIJAx4t60-LfVMRp4yWagIjK0Y
295,On Main Gallery,On Main Gallery,ChIJBRtRSKf0fVMRUu4qsHOn4vs
296,Or Gallery,Or Gallery,ChIJzyCIRnlxhlQRtRcithH2IOg
297,Orpheum Annex,Orpheum Annex,ChIJxy_lS35xhlQRR-M1-FHRlQg
298,Orpheum Theatre,Orpheum Theatre,ChIJXYebzX9xhlQRnChzu0W7GW8
299,Outreach Services,Outreach Services,ChIJHVQQjriMfVMRxOWEs23Ng5I
300,Pacific Cinémathèque,Pacific Cinémathèque,ChIJnSJO_9RzhlQR02WmJ7AlO3s
301,Pacific Museum of Earth,Pacific Museum of Earth,ChIJh7j5aspyhlQRTnlQmtvJeyU
302,Pacific Theatre,Pacific Theatre,ChIJbdUaVr9zhlQRMJAh2Gg_XYc
303,Pal Studio Theatre,Pal Studio Theatre,ChIJCf2eJYZxhlQROagIdiJjAAY
304,Pender Island Public Library,Pender Island Public Library,ChIJG9U4sw5gj1QR-pHilykQ5F4
305,Pendulum Gallery,Pendulum Gallery,ChIJLVda3oFxhlQRWwwnvqGhehc
306,Penticton Public Library,Penticton Public Library,ChIJSb_w2XdiglQRghUAJBxPcN4
307,Performance Works,Performance Works,ChIJ8dXFmM9zhlQRK7b4fowQYx8
308,Peri-Laine Nilan,can not find,0
309,Peter Kiss Gallery,Peter Kiss Gallery,ChIJu9_w_85zhlQRBcwAfSaVI-A
310,Peter Lojewski,Peter Lojewski,ChIJ0ZcLIszJD4gRZ4U8ikud9BE
311,Petley Jones Gallery,Petley Jones Gallery,ChIJmyfU08dzhlQRbxSU7vzHfuA
312,Pitt Meadows Museum,Pitt Meadows Museum,ChIJOW55mUfUhVQRk1ozsqR9Itg
313,Pitt Meadows Public Library,Pitt Meadows Public Library,ChIJh6hFJT_UhVQRtO4PSLqlEB4
314,Plaskett Gallery,Plaskett Gallery,ChIJEXcdR27YhVQRDW-AvTKmIIA
315,Points West Heritage Consulting Ltd,Points West Heritage Consulting Ltd,ChIJC23OevLIhVQROq0kFYtI8kI
316,Port Coquitlam Heritage & Cultural Society,Port Coquitlam Heritage & Cultural Society,ChIJszrLp6x4hlQRI3_Tsq2hXL0
317,Port Mcneill Branch,Port Mcneill Branch,ChIJGZYkp8V5Y1QRH9CMrciAQNk
318,Port Moody Public Library,Port Moody Public Library,ChIJpwSuwdl4hlQRlXttOlON5kU
319,Port Moody Station Museum,Port Moody Station Museum,ChIJFU19_h15hlQRD--S5voqh_g
320,Port Renfrew Branch,Port Renfrew Branch,ChIJ941Ef5rXjlQRUTCJyTML-Wo
321,Presentation House Gallery,Presentation House Gallery,ChIJMTeMw0twhlQR2kIwfJvNlQg
322,Princeton Branch,Princeton Branch,ChIJQ-9w6MXgw4kRuve87rfsHlA
323,Qualicum Beach Branch,Qualicum Beach Branch,ChIJjXixvNSOiFQRzhy3EIcJHnY
324,Queen Elizabeth Park,Queen Elizabeth Park,ChIJIcZrTvVzhlQRiKTnD03vt7Q
325,Queen Elizabeth Theatre,Queen Elizabeth Theatre,ChIJ5_VBAXxxhlQRWnjI61A3nX8
326,Radium Hot Springs Public Library,Radium Hot Springs Public Library,ChIJgfS3qyRvelMRY8gMndiSnfU
327,Razzberry Art And Design,Razzberry Art And Design,ChIJYzRz2TMLhlQR31hA_SBxFtI
328,Remington Gallery And Studio,can not find,0
329,Rennie Collection At Wing Sang,Rennie Collection At Wing Sang,ChIJ8_lYN3pxhlQRFduDugWkFWs
330,Revelstoke Branch,Revelstoke Branch,ChIJTUEixAU3eVMRz-iz1YdznNY
331,Richard R. Carswell,can not find,0
332,Richmond Art Gallery,Richmond Art Gallery,ChIJfaA57MkKhlQR6hw-K_C9D3w
333,Richmond Museum,Richmond Museum,ChIJP4INEgALhlQRnDq2nTIOTL0
334,Richmond Nature Park,Richmond Nature Park,ChIJBU91Ump1hlQRNhss6L2V8s4
335,Rickshaw Theatre,Rickshaw Theatre,ChIJD3NnrXFxhlQRWqziQZQhHHw
336,Rio Theatre,Rio Theatre,ChIJifVE3k5xhlQRUcBOhcGR4Rs
337,Rob Fee,Rob Fee,ChIJ2-EL2g7YhVQR_0vxs9MXGX0
338,Roedde House,Roedde House,ChIJj1udwilyhlQR1FRRZudhLlE
339,Rossland Public Library Association,Rossland Public Library Association,ChIJ4VptHpLaYlMRhet1ZNKBh4k
340,Roy Barnett Recital Hall,Roy Barnett Recital Hall,ChIJkfM3ALRyhlQRDxcQU-OZBiA
341,Royal City Musical Theatre Company,Royal City Musical Theatre Company,ChIJVY646th3hlQRMTHFV3uGpEo
342,Royal City Youth Ballet,Royal City Youth Ballet,ChIJh7oB-XHYhVQRuj_VgInotqc
343,Royal Principal Ballet Academy Ltd,Royal Principal Ballet Academy Ltd,ChIJo6E3LC7ZhVQROUcwXbSxaYk
344,Salmo Public Library,Salmo Public Library,ChIJUWVpBDo6Y1MRbG_HWE-dC9I
345,Salmon Arm Branch,Salmon Arm Branch,ChIJU-3_2wr1flMRFDiykUb2nv8
346,Samson V Maritime Museum,Samson V Maritime Museum,ChIJQb557W_YhVQRZ3MARIzx_Go
347,Samson V Museum,Samson V Museum,ChIJQb557W_YhVQRZ3MARIzx_Go
348,Sardis Library,Sardis Library,ChIJ561AYjBHhFQRBrcyhgvYoNo
349,Satellite Gallery,Satellite Gallery,ChIJK5sv1TtxhlQRXA1O3Eqwvio
350,Sayward Branch,Sayward Branch,ChIJAeheBMPYYlQRQmw9oT-iG84
351,Science World At Telus World of Science,Science World At Telus World of Science,ChIJnZHwi2NxhlQRN3CYHzc3giE
352,Scotiabank Dance Centre - Faris Family Studio,Scotiabank Dance Centre - Faris Family Studio,ChIJ1W0OFNRzhlQRkh6fdGecGxA
353,Seaforth Highlanders of Canada Regimental Museum And Archives,Seaforth Highlanders of Canada Regimental Museum And Archives,ChIJudf489JzhlQRXxtOxpMkQlc
354,Semiahmoo Library,Semiahmoo Library,ChIJy66MpmLDhVQRkL_-GdQoyJU
355,Seymour Art Gallery,Seymour Art Gallery,ChIJp52CC1J6hlQRaXrBznBC2ec
356,Shadows & Dreams Theatre Company,Shadows & Dreams Theatre Company,ChIJbzsp7pkys1IRvrbdSI-GoM4
357,Silk Purse Arts Centre,Silk Purse Arts Centre,ChIJFVgIZBpuhlQRyYpiMVZbf2U
358,Silvana Mcnulty Garden Gals,Silvana Mcnulty Garden Gals,ChIJm9gL3eF3hlQRYLounZbUyJE
359,Simon Fraser Gallery,Simon Fraser Gallery,ChIJ3zZTl795hlQRe7RycIqHO4Q
360,Simon Fraser University Museum of Archaeology & Ethnology,Simon Fraser University Museum of Archaeology & Ethnology,ChIJ-_RV_sZ5hlQRzZg0ulZmBa8
361,Skwachàys Lodge Gallery,Skwachàys Lodge Gallery,ChIJddQ0P3pxhlQRM9EcgtNdi7Y
362,Société Historique Francophone De La Colombie-Britannique,Société Historique Francophone De La Colombie-Britannique,ChIJVVUV38dzhlQRXWYWGXQkSw8
363,Sointula Branch,Sointula Branch,ChIJ78W7sUR6Y1QRpvJWm2tUSDQ
364,South Hill,South Hill,ChIJyaQHcXONfVMRbs9WSJ5JY9Q
365,Spencer Goring,Spencer Goring,ChIJ46SFnnlxhlQRqBXj77T3L6k
366,Spirit Wrestler Gallery,Spirit Wrestler Gallery,ChIJ6zQZQ3dxhlQR4TngdGMejyA
367,St James Community Square,St James Community Square,ChIJ8-LY5KpzhlQRjb7KYI2etJk
368,St. Roch National Historic Site C/O Vancouver Maritime Museum,St. Roch National Historic Site C/O Vancouver Maritime Museum,ChIJ1Z9UgDRyhlQRDa5EUSNJuA8
369,Stagecoach Theatre Arts School,Stagecoach Theatre Arts School,ChIJ8TroA7XZfVMRjqYk_6a6JxY
370,Stanley Park Nature House,Stanley Park Nature House,ChIJcxJ3jIlxhlQRi5oOMHxmFPY
371,Steveston Museum And Visitor Centre,Steveston Museum And Visitor Centre,ChIJO0tJXtjhhVQRS8jDU5Pv2U8
372,Strathcona Branch,Strathcona Branch,ChIJe50bmW1xhlQRGZBG6AnoEZs
373,Studio Theatre At Surrey Arts Centre,Studio Theatre At Surrey Arts Centre,ChIJ7Rrhz5TZhVQRBD5h5gs5pv8
374,Sum Gallery,Sum Gallery,ChIJAQDA329xhlQRi5gRcGyzj64
375,Surrey Art Gallery,Surrey Art Gallery,ChIJ7Rrhz5TZhVQRBD5h5gs5pv8
376,Surrey Little Theatre,Surrey Little Theatre,ChIJAYBGyUTQhVQRDat4r2ts-io
377,Surrey Museum & Archives,Surrey Museum & Archives,ChIJESujdqfahVQRYe0bXMJugsk
378,Susan Mccallum,Susan Mccallum,ChIJEfCRon3tfVMRpPGNBbl5qHw
379,Synthesis Consulting Ltd,Synthesis Consulting Ltd,ChIJdZvRo5SMfVMRw_Npr0MYKwo
380,Taylor Public Library,Taylor Public Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4
381,Teck Gallery,Teck Gallery,ChIJF7DmYHhxhlQRBma1LSJ1750
382,Terry Erickson,Terry Erickson,ChIJVz4Od8cM9ocRBOG3cewMXoM
383,The Act Arts Centre & Theatre,The Act Arts Centre & Theatre,ChIJi_sBjF7ThVQRB7_aVA4h1KM
384,The Apartment,The Apartment,ChIJu_qqUJvyfVMR1dKE2_4Onok
385,The Art of Law Gallery,The Art of Law Gallery,ChIJE5tAZILyfVMRAoR4BifSnA4
386,The Bernie Legge Theatre,The Bernie Legge Theatre,ChIJN06WngnYhVQRuDrjNx8E920
387,The Fort Gallery,The Fort Gallery,ChIJZUjyL1nShVQRjYk17_A5OzA
388,The Ironworks Studio,The Ironworks Studio,ChIJP1KRT3FxhlQR1xDp8iXxwW4
389,The Michael J Fox Theatre Society,The Michael J Fox Theatre Society,ChIJ9baKDEd2hlQRUEl20T9jMaw
390,The Mojo Stars,can not find,0
391,The Polygon Gallery,The Polygon Gallery,ChIJB5VO1kxwhlQRK20LBQy-CCo
392,The Royal Westminster Regiment Museum,The Royal Westminster Regiment Museum,ChIJ5zj2mXPYhVQRE0rdictytQI
393,Tom Lee Music Recital Hall,Tom Lee Music Recital Hall,ChIJf0VOf9VzhlQRguK2M4FaDqQ
394,Tommy Douglas Branch,Tommy Douglas Branch,ChIJqcsB8ct3hlQRqXJN1Gi9cow
395,Tommy Douglas Library,Tommy Douglas Library,ChIJqcsB8ct3hlQRqXJN1Gi9cow
396,Tracey Lawrence Gallery,Tracey Lawrence Gallery,ChIJlReH5chzhlQR4wx1XS5Nak4
397,Trench Gallery,Trench Gallery,ChIJWb41Qe-VwoAREYt8yMIFkWo
398,Trillium North Park,Trillium North Park,ChIJqe3omWVxhlQRnQQZik9OmLk
399,Tumbler Ridge Public Library,Tumbler Ridge Public Library,ChIJ41T_cHctjlMRFs6kCypx3cc
400,Twilight Drive-In Theatre Ltd,Twilight Drive-In Theatre Ltd,ChIJPc3f7frLhVQR_B7AYacPZCA
401,UBC Botanical Garden,UBC Botanical Garden,ChIJzfI36jINhlQRT_HCqL0fFeM
402,UBC Museum of Anthropology,UBC Museum of Anthropology,ChIJrf8w27NyhlQR44St4PQccfY
403,Underwater Archaeological Society of British Columbia,Underwater Archaeological Society of British Columbia,ChIJEfCRon3tfVMRpPGNBbl5qHw
404,Unit/Pitt Projects,can not find,0
405,United Church of Canada B.C. Conference Archives,United Church of Canada B.C. Conference Archives,ChIJ-YiVK2l2hlQRNwHiKTC6tr8
406,University of Bc: Charles Woodward Memorial Room,University of Bc: Charles Woodward Memorial Room,ChIJ_1xQ1bdyhlQR8_ytCOZZlBI
407,University of British Columbia: Rare Books And Special Collections,University of British Columbia: Rare Books And Special Collections,ChIJyRgNg7ZyhlQRozfznVr93Xc
408,Uno Langmann Limited Fine Arts,Uno Langmann Limited Fine Arts,ChIJIzcthMhzhlQRrRPzhF5ss9w
409,Vagabond Theatre/Fisheries Exibition Building,Vagabond Theatre/Fisheries Exibition Building,ChIJFRh4yIEDyIkR79-VLPCCnLc
410,Valerie Mcrae,can not find,0
411,Van Dop Gallery,Van Dop Gallery,ChIJ17y82fd3hlQRJNucsf4PppI
412,Van Dusen Botanical Garden,Van Dusen Botanical Garden,ChIJwW3HeIZzhlQRVxJgWI8VjAg
413,Vancity Theatre,Vancity Theatre,ChIJ9cRQO9RzhlQRcDd_iut2UH4
414,Vancouver Access Artist Run Centre,Vancouver Access Artist Run Centre,ChIJI_kXTHdxhlQRjSihNhSkWjw
415,Vancouver Art Gallery,Vancouver Art Gallery,ChIJwXz9f39xhlQRT3qxXAPDlbU
416,Vancouver Art Gallery Offsite,Vancouver Art Gallery Offsite,ChIJC2a6pYFxhlQRUE-r4PRUkc8
417,Vancouver Biennale,Vancouver Biennale,ChIJ84iLI99zhlQRW_ZlNTWP8fA
418,Vancouver Contemporary Art Gallery,Vancouver Contemporary Art Gallery,ChIJpWYR79VzhlQRYo-cR-_0ktg
419,Vancouver East Cultural Centre - Vancity Culture Lab,Vancouver East Cultural Centre - Vancity Culture Lab,ChIJwXipwj1xhlQRdYmrhuSfVQc
420,Vancouver Holocaust Education Centre,Vancouver Holocaust Education Centre,ChIJexoR8Xh0hlQRcCjlkQHejk4
421,Vancouver Island University Museum of Natural History,Vancouver Island University Museum of Natural History,ChIJ_ZP-GPGjiFQRySEXJkDF6WM
422,Vancouver Maritime Museum,Vancouver Maritime Museum,ChIJiVHFdzNyhlQRjW3eJ2KKZM0
423,Vancouver Naval Museum,Vancouver Naval Museum,ChIJUcAHihBuhlQRNvdDAY0mXKo
424,Vancouver Playhouse Theatre,Vancouver Playhouse Theatre,ChIJrefVTXlxhlQRC_DwJyfCiUk
425,Vancouver Police Museum,Vancouver Police Museum,ChIJo3B9CHFxhlQRCmfgCcpG0BQ
426,Vancouver Public Library,Vancouver Public Library,ChIJsVpklzuNfVMRyJykScwbw34
427,Vancouver Symphony Orchestra School of Music - Recital Hall (Pyatt Hall),Vancouver Symphony Orchestra School of Music - Recital Hall (Pyatt Hall),ChIJU78AMH5xhlQRJsUwPms458E
428,Vivo Media Arts Centre,Vivo Media Arts Centre,ChIJqV1Le2BxhlQR7B0Y7--RnxY
429,Vogue Theatre,Vogue Theatre,ChIJGRkFKn5xhlQRT4PdHofkZ5E
430,Waterfront Theatre,Waterfront Theatre,ChIJa-uj485zhlQRBK6mZbG5I28
431,West Vancouver Museum,West Vancouver Museum,ChIJnfYm3BBuhlQRPLNVGwgMURo
432,West Vancouver Museum And Archives,West Vancouver Museum And Archives,ChIJnfYm3BBuhlQRPLNVGwgMURo
433,Western Front - Gallery,Western Front - Gallery,ChIJMUTHbl9xhlQRrpkumTy2QaU
434,Western Front - Luxe Hall,Western Front - Luxe Hall,ChIJMUTHbl9xhlQRrpkumTy2QaU
435,Whistler Public Library,Whistler Public Library,ChIJTYeGC7M8h1QRhJn8ImdcWJI
436,White Rock Museum And Archives,White Rock Museum And Archives,ChIJp-cXznfDhVQR2sZybkviHTE
437,Wil Aballe Art Projects,Wil Aballe Art Projects,ChIJg6ZZBYd-C0ERtvyitXbaJOw
438,Willowbrook Art Gallery,Willowbrook Art Gallery,ChIJkezPMSnQhVQRhYiDFiyB9UU
439,Winsor Gallery,Winsor Gallery,ChIJbSWU4b5zhlQRTUhxUCZCuvM
440,Wise Club Hall,Wise Club Hall,ChIJozmE7T1xhlQRt-UlKOC-wz4
441,Woodward's Atrium,Woodward's Atrium,ChIJo8K5knlxhlQRBkyzjcK92Bg
442,Woss Branch,Woss Branch,ChIJlb5JzHEAY1QRgjcJ_n2Bbrk
443,Yarrow Library,Yarrow Library,ChIJa5aUHc9HhFQRkikK61az_Lk
444,York Theatre,York Theatre,ChIJQY5X1xVxhlQRXcRkTyGbCbs
445,Yuk Yuk's Comedy Club,Yuk Yuk's Comedy Club,ChIJuycZ1-dzhlQRSZsBQvvwklo
446,Zemi Cultural Heritage Services,can not find,0
