"NAME","CSDUID","csd_score","Average_Rent","Vacancy_Rate","prox_emp","prox_pharma","prox_childcare","prox_health","prox_grocery","prox_educpri","prox_educsec","prox_lib","prox_parks","prox_transit","population","Amenity_num"
"Anmore VL","5915038",0.0628463894570312,NA,NA,0.0118,0.0102,0.0106,0.00367,0.0164333333333333,0.0618714285714286,0.0956,NA,0.0328,0.00142222222222222,2210,1
"Barnston Island 3 IRI","5915809",NA,NA,NA,0.01095,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,1
"Belcarra VL","5915036",0.0518128414732143,NA,NA,0.0025375,0.0199,0.0084,0.00121428571428571,NA,NA,NA,NA,NA,0.00102857142857143,643,1
"Bowen Island IM","5915062",0.0524649761566964,NA,"",0.00131702127659574,0.01455,0.0129346153846154,0.000206818181818182,0.04825,0.0192,0.0247,0.108614285714286,0.0049,0.000624137931034483,3680,3
"Burnaby CY","5915025",0.164081317403582,1396,"3.2",0.0820847873107426,0.0547859482758621,0.0796758339510749,0.0233160028964518,0.0817192307692308,0.126596948356808,0.181495823842065,0.089304674796748,0.0480887910328263,0.0238269760696157,193582,21
"Burrard Inlet 3 IRI","5915806",0.0873411991996589,NA,NA,0.027425,NA,0.0230333333333333,0.00285,NA,NA,0.0366,NA,0.064,0.0025,165,1
"Capilano 5 IRI","5915808",0.146393099388587,NA,NA,0.0927416666666667,0.0211095238095238,0.0191916666666667,0.0106125,0.0339952380952381,0.0498692307692308,0.0642923076923077,NA,0.0219761904761905,0.0115666666666667,2931,1
"Coquitlam 1 IRI","5915805",NA,NA,NA,0.036,NA,NA,4e-04,NA,NA,NA,NA,NA,NA,54,1
"Coquitlam 2 IRI","5915804",0.0569505871875,NA,NA,0.0435,NA,0.0103,0.0045,NA,0.0314,0.06325,NA,0.0159,5e-04,0,1
"Coquitlam CY","5915034",0.120927721882867,1341,"2",0.050767032967033,0.0465234003656307,0.0655061959654179,0.0146346260387812,0.0670097777777778,0.117821493902439,0.0836405940594059,0.0929036231884058,0.0351009842519685,0.0114352112676056,119514,7
"Delta DM","5915011",0.0915305728127737,1198,"2.2",0.023763768115942,0.0273783599088838,0.0580285942492013,0.00944705035971223,0.0572478632478632,0.095898756660746,0.137774035087719,0.0810058252427184,0.0379470588235294,0.0065608442503639,95375,5
"Greater Vancouver A RDA","5915020",0.219201202187579,2235,"14.6",0.0221490066225166,0.0264359550561798,0.0229763636363636,0.00719642857142857,0.05,0.0484727272727273,0.0704166666666667,0.106894252873563,0.121459541984733,0.0460762589928058,12565,17
"Katzie 1 IRI","5915830",0.045471048453125,NA,NA,0.02446,0.013825,0.04108,0.00162,NA,NA,NA,NA,0.023475,0.00088,262,1
"Katzie 2 IRI","5915813",NA,NA,NA,0.0135,NA,NA,0,NA,NA,NA,NA,NA,NA,40,1
"Langley 5 IRI","5915835",NA,NA,NA,0.0044,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1
"Langley CY","5915002",0.0982298891628937,1356,"1.6",0.0396385826771654,0.07996,0.0457992125984252,0.00958503937007874,0.158993333333333,0.124595614035088,0.0639532258064516,0.104688524590164,0.0484616666666667,0.0147779527559055,22939,1
"Langley DM","5915001",0.0824434828483643,1577,"2.8",0.02087,0.0270404388714734,0.040219793814433,0.00525277777777778,0.0505055555555556,0.080325845410628,0.0959527868852459,0.082516742081448,0.0480375886524823,0.00385342741935484,100400,38
"Lions Bay VL","5915065",0.0505045974375,NA,NA,0.0017,0.016175,NA,0.0059,NA,0.039075,NA,NA,0.0249666666666667,0.0001625,1334,1
"Maple Ridge CY","5915075",0.0787651932165479,1082,"1.6",0.0238938814531549,0.0566974576271186,0.0541621247113164,0.0170817097415507,0.0795208,0.0752011461318052,0.110536235955056,0.101474074074074,0.0434825072886297,0.00695886214442013,73922,7
"Matsqui 4 IRI","5915825",NA,NA,NA,0.00243333333333333,NA,NA,NA,NA,NA,NA,NA,0.0111,NA,471,1
"McMillan Island 6 IRI","5915816",NA,NA,NA,0.0078,NA,NA,0.0034,NA,NA,NA,0.0486,0.0165,NA,94,1
"Mission 1 IRI","5915807",0.161970429652778,NA,NA,0.0919444444444444,0.0490111111111111,0.0751666666666667,0.0497777777777778,0.0352555555555556,0.0770666666666667,0.0993333333333333,0.0531,0.0589111111111111,0.0452333333333333,576,1
"Musqueam 2 IRI","5915803",0.144111559585426,NA,NA,0.03643125,0.0066,0.0102866666666667,0.00958125,0.0109666666666667,0.0396777777777778,0.0511333333333333,NA,0.01826,0.01144,1652,1
"Musqueam 4 IRI","5915810",NA,NA,NA,0.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1
"New Westminster CY","5915029",0.215310909983302,1321,"1.6",0.0801174242424242,0.0598970772442589,0.102793536121673,0.0395089866156788,0.120562696629213,0.138283366336634,0.121821710526316,0.0861384297520661,0.0423073496659243,0.0286539347408829,61154,80
"North Vancouver CY","5915051",0.151694360299863,1548,"2.6",0.0688865889212828,0.0831891525423729,0.128561224489796,0.0509408163265306,0.0867774086378738,0.0959718562874251,0.15415,0.0883944785276074,0.09535,0.0251523391812866,52898,5
"North Vancouver DM","5915046",0.123663382104505,1958,"2.8",0.0464705,0.0272362385321101,0.0715277495769882,0.0143743718592965,0.0539203562340967,0.0996081031307551,0.157413503649635,0.116354237288136,0.0609443243243243,0.0138991496598639,77143,14
"Pitt Meadows CY","5915070",0.0856875314680706,1361,"1.1",0.0282840707964602,0.0131614035087719,0.047028125,0.007825,0.0531116279069767,0.11779,0.124503409090909,0.0887707317073171,0.054006976744186,0.00812043010752688,18573,2
"Port Coquitlam CY","5915039",0.089500975315581,1587,"0.7",0.0439378830083565,0.0369756198347107,0.083603216374269,0.0155416201117318,0.0839179487179487,0.13108945686901,0.10118731884058,0.0933148648648649,0.0459745098039216,0.0134387005649718,48650,1
"Port Moody CY","5915043",0.145352524494048,NA,"",0.045457476635514,0.0431060240963855,0.0728028985507246,0.0280177570093458,0.0608,0.0942748768472906,0.0807551470588235,0.0942170212765957,0.037212865497076,0.0162677725118483,27203,7
"Richmond CY","5915015",0.125499718925068,1463,"1.7",0.0414366666666667,0.0457796633941094,0.0610037128712871,0.00978225806451613,0.0678290262172285,0.108630779392338,0.163056208277704,0.0786765853658537,0.0400428965517241,0.0168892773892774,142976,13
"Semiahmoo IRI","5915801",0.03261263146875,NA,NA,0.01085,NA,NA,0.000166666666666667,NA,NA,NA,NA,0.0286,NA,120,1
"Seymour Creek 2 IRI","5915811",0.1238881015625,NA,NA,0.0573875,0.0114,0.0212,0.0037,0.080275,0.03058,0.0394,NA,0.01405,0.0172166666666667,123,1
"Surrey CY","5915004",0.109658134813502,1251,"1.4",0.0499284788245462,0.0332407032181168,0.050434243902439,0.0113794245858762,0.0534990152193375,0.0974045407636739,0.141952488455618,0.0941748936170213,0.0904048439683279,0.00930514040932889,426408,17
"Tsawwassen IRI","5915802",0.05650922730625,NA,NA,0.00488461538461538,0.0064,0.0173,0.00181,NA,0.063575,0.081925,NA,0.0113,0.00105,816,1
"Vancouver CY","5915022",0.232308839633254,1601,"2.8",0.169115464144303,0.126794175422567,0.115864189338642,0.0605329222638185,0.162298961603477,0.162601133837261,0.212849574753805,0.109466074653823,0.0721809631471852,0.0530350838481906,605571,195
"West Vancouver DM","5915055",0.120659461946355,2003,"2.5",0.0377995475113122,0.0450228464419476,0.0374212765957447,0.0131767981438515,0.0566342541436464,0.0956135220125786,0.139743492063492,0.100937634408602,0.0391824046920821,0.0104162291169451,39726,5
"White Rock CY","5915007",0.113203589855587,1191,"0.8",0.0333071065989848,0.0572166666666667,0.0333680412371134,0.0434228426395939,0.0644132075471698,0.0742948453608247,0.107199484536082,0.121724647887324,0.171348979591837,0.0165836734693878,19952,4
"Whonnock 1 IRI","5915840",0.023409050109375,NA,NA,0.00205,NA,NA,NA,NA,NA,NA,NA,NA,0.00025,0,1
