poi_name,Name,pid,Rating,Total_Review,opening_hours,open_days,Total_hours
Richmond Nature Park,Richmond Nature Park,ChIJBU91Ump1hlQRNhss6L2V8s4,4.4,798,"['Monday: 7:00 AM – 6:00 PM', 'Tuesday: 7:00 AM – 6:00 PM', 'Wednesday: 7:00 AM – 6:00 PM', 'Thursday: 7:00 AM – 6:00 PM', 'Friday: 7:00 AM – 6:00 PM', 'Saturday: 7:00 AM – 6:00 PM', 'Sunday: 7:00 AM – 6:00 PM']",7,77
Rickshaw Theatre,Rickshaw Theatre,ChIJD3NnrXFxhlQRWqziQZQhHHw,4.4,874,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 6:00 PM']",7,56
Science World At Telus World of Science,Science World,ChIJnZHwi2NxhlQRN3CYHzc3giE,4.5,8833,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,49
Scotiabank Dance Centre - Faris Family Studio,The Dance Centre,ChIJ1W0OFNRzhlQRkh6fdGecGxA,4.6,208,"['Monday: 10:00 AM – 7:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 7:00 PM', 'Thursday: 10:00 AM – 7:00 PM', 'Friday: 10:00 AM – 7:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 6:00 PM']",7,61
Semiahmoo Library,Surrey Libraries - Semiahmoo Branch,ChIJy66MpmLDhVQRkL_-GdQoyJU,4.5,68,"['Monday: 1:00 – 5:00 PM', 'Tuesday: 9:30 AM – 8:00 PM', 'Wednesday: 9:30 AM – 8:00 PM', 'Thursday: 9:30 AM – 6:00 PM', 'Friday: 9:30 AM – 6:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 1:00 – 5:00 PM']",7,77
Skwachàys Lodge Gallery,Skwachay's Lodge Urban Aboriginal Art Gallery,ChIJddQ0P3pxhlQRM9EcgtNdi7Y,4.3,33,"['Monday: 10:00 AM – 11:00 PM', 'Tuesday: 10:00 AM – 11:00 PM', 'Wednesday: 10:00 AM – 11:00 PM', 'Thursday: 10:00 AM – 11:00 PM', 'Friday: 10:00 AM – 11:00 PM', 'Saturday: 10:00 AM – 11:00 PM', 'Sunday: 10:00 AM – 11:00 PM']",7,91
St. Roch National Historic Site C/O Vancouver Maritime Museum,St. Roch,ChIJ1Z9UgDRyhlQRDa5EUSNJuA8,4.8,14,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 8:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,52
Terry Salman Branch,"Vancouver Public Library, Terry Salman Branch",ChIJQYo5sPVzhlQRllYMfxmI1c0,4.4,29,"['Monday: 9:00 AM – 9:00 PM', 'Tuesday: 9:00 AM – 9:00 PM', 'Wednesday: 9:00 AM – 9:00 PM', 'Thursday: 9:00 AM – 9:00 PM', 'Friday: 9:00 AM – 9:00 PM', 'Saturday: 9:00 AM – 6:00 PM', 'Sunday: 9:00 AM – 6:00 PM']",7,78
The Ironworks Studio,The Ironworks,ChIJP1KRT3FxhlQR1xDp8iXxwW4,4.2,47,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",7,0
The Mojo Stars,The Heritage Grill,ChIJzwDGfU0sflMRPvHYZ3crK-U,3.9,657,"['Monday: 10:00 AM – 10:00 PM', 'Tuesday: 10:00 AM – 10:00 PM', 'Wednesday: 10:00 AM – 10:00 PM', 'Thursday: 10:00 AM – 10:00 PM', 'Friday: 10:00 AM – 10:00 PM', 'Saturday: 10:00 AM – 10:00 PM', 'Sunday: 10:00 AM – 10:00 PM']",7,84
Tom Lee Music Recital Hall,Tom Lee Music Vancouver,ChIJf0VOf9VzhlQRguK2M4FaDqQ,3.5,209,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 12:00 – 5:00 PM']",7,53
Tommy Douglas Branch,"Burnaby Public Library, Tommy Douglas Library",ChIJqcsB8ct3hlQRqXJN1Gi9cow,4.4,112,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 7:00 PM', 'Thursday: 10:00 AM – 7:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 12:00 – 4:00 PM']",7,51
Tommy Douglas Library,"Burnaby Public Library, Tommy Douglas Library",ChIJqcsB8ct3hlQRqXJN1Gi9cow,4.4,112,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 7:00 PM', 'Wednesday: 10:00 AM – 7:00 PM', 'Thursday: 10:00 AM – 7:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 12:00 – 4:00 PM']",7,51
Trillium North Park,Trillium Park,ChIJqe3omWVxhlQRnQQZik9OmLk,4.2,385,"['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:00 AM – 10:00 PM', 'Sunday: 6:00 AM – 10:00 PM']",7,112
Van Dusen Botanical Garden,VanDusen Botanical Garden,ChIJwW3HeIZzhlQRVxJgWI8VjAg,4.6,6937,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,49
Vancity Theatre,Vancity Theatre – VIFF Centre,ChIJ9cRQO9RzhlQRcDd_iut2UH4,4.6,469,"['Monday: 9:00 AM – 9:00 PM', 'Tuesday: 9:00 AM – 9:00 PM', 'Wednesday: 9:00 AM – 9:00 PM', 'Thursday: 9:00 AM – 9:00 PM', 'Friday: 9:00 AM – 9:00 PM', 'Saturday: 9:00 AM – 9:00 PM', 'Sunday: 9:00 AM – 9:00 PM']",7,84
Vancouver Access Artist Run Centre,Access Artist-Run Centre,ChIJI_kXTHdxhlQRjSihNhSkWjw,4.5,2,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 8:00 PM', 'Friday: 10:00 AM – 8:00 PM', 'Saturday: 10:00 AM – 8:00 PM', 'Sunday: 10:00 AM – 6:00 PM']",7,62
Vancouver Art Gallery,Vancouver Art Gallery,ChIJwXz9f39xhlQRT3qxXAPDlbU,4.3,5828,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 12:00 – 8:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 12:00 – 8:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,51
Vancouver Art Gallery Offsite,Vancouver Art Gallery Offsite,ChIJC2a6pYFxhlQRUE-r4PRUkc8,4.5,23,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",7,0
Vancouver Biennale,Vancouver International Sculpture Biennale,ChIJ84iLI99zhlQRW_ZlNTWP8fA,4.8,12,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",7,49
Vancouver Public Library,"Vancouver Public Library, Central Library",ChIJQ9pJmH5xhlQRe_nvreYL37k,4.6,1072,"['Monday: 9:30 AM – 8:30 PM', 'Tuesday: 9:30 AM – 8:30 PM', 'Wednesday: 9:30 AM – 8:30 PM', 'Thursday: 9:30 AM – 8:30 PM', 'Friday: 9:30 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 11:00 AM – 6:00 PM']",7,67.5
West Vancouver Memorial Library,West Vancouver Memorial Library,ChIJmXTQ0BFuhlQRPldMpc91KKc,4.6,92,"['Monday: 10:00 AM – 5:30 PM', 'Tuesday: 10:00 AM – 7:30 PM', 'Wednesday: 10:00 AM – 5:30 PM', 'Thursday: 10:00 AM – 7:30 PM', 'Friday: 10:00 AM – 5:30 PM', 'Saturday: 10:00 AM – 5:30 PM', 'Sunday: 10:00 AM – 5:30 PM']",7,56.5
Willowbrook Art Gallery,Willowbrook Art Gallery & Framing,ChIJkezPMSnQhVQRhYiDFiyB9UU,4.6,37,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 11:00 AM – 6:00 PM']",7,55
Wise Club Hall,The Wise,ChIJozmE7T1xhlQRt-UlKOC-wz4,4.5,251,"['Monday: 5:00 PM – 1:00 AM', 'Tuesday: 5:00 PM – 1:00 AM', 'Wednesday: 5:00 PM – 1:00 AM', 'Thursday: 5:00 PM – 1:00 AM', 'Friday: 5:00 PM – 2:00 AM', 'Saturday: 5:00 PM – 2:00 AM', 'Sunday: 5:00 PM – 12:00 AM']",7,111
Aldergrove Library,Aldergrove Library,ChIJnUQ_GcLLhVQR45Ya8rbkqjs,4.9,18,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
Amelia Douglas Gallery,Douglas College,ChIJyU3u9XHYhVQRPy86XwYQp_M,3.9,286,"['Monday: 6:30 AM – 11:00 PM', 'Tuesday: 6:30 AM – 11:00 PM', 'Wednesday: 6:30 AM – 11:00 PM', 'Thursday: 6:30 AM – 11:00 PM', 'Friday: 6:30 AM – 11:00 PM', 'Saturday: 8:00 AM – 6:00 PM', 'Sunday: Closed']",6,92.5
Art Club/Bard On Beach Production Centre Theatre,"Newmont Stage at the BMO Theatre Centre, Arts Club Theatre Company",ChIJZ94eAGJxhlQRk8117dtiqow,4.5,183,"['Monday: Closed', 'Tuesday: 4:00 – 7:30 PM', 'Wednesday: 11:30 AM – 7:30 PM', 'Thursday: 4:00 – 7:30 PM', 'Friday: 4:30 – 8:00 PM', 'Saturday: 12:00 – 8:00 PM', 'Sunday: 12:00 – 4:00 PM']",6,66.5
Arts Club Theatre - Granville Island Stage,"Granville Island Stage, Arts Club Theatre Company",ChIJj6Jmb85zhlQRbdUEOydci3o,4.5,222,"['Monday: 4:00 – 7:30 PM', 'Tuesday: 4:00 – 7:30 PM', 'Wednesday: 11:30 AM – 7:30 PM', 'Thursday: 4:00 – 7:30 PM', 'Friday: 4:30 – 8:00 PM', 'Saturday: 12:00 – 8:00 PM', 'Sunday: Closed']",6,78
Arts Club Theatre - Revue Stage,"Granville Island Stage, Arts Club Theatre Company",ChIJj6Jmb85zhlQRbdUEOydci3o,4.5,222,"['Monday: 4:00 – 7:30 PM', 'Tuesday: 4:00 – 7:30 PM', 'Wednesday: 11:30 AM – 7:30 PM', 'Thursday: 4:00 – 7:30 PM', 'Friday: 4:30 – 8:00 PM', 'Saturday: 12:00 – 8:00 PM', 'Sunday: Closed']",6,78
Arts Club Theatre - Stanley Industrial Alliance Stage,"Stanley Industrial Alliance Stage, Arts Club Theatre Company",ChIJOUzupLhzhlQRIOQ9G20eido,4.6,629,"['Monday: Closed', 'Tuesday: 4:00 – 7:30 PM', 'Wednesday: 11:30 AM – 7:30 PM', 'Thursday: 4:00 – 7:30 PM', 'Friday: 4:30 – 8:00 PM', 'Saturday: 12:00 – 8:00 PM', 'Sunday: 12:00 – 5:00 PM']",6,67.5
BC Golf House Society,BC Golf Museum,ChIJvVzcmehyhlQRf5N4JB1DnUE,4.3,10,"['Monday: Closed', 'Tuesday: 12:00 – 4:00 PM', 'Wednesday: 12:00 – 4:00 PM', 'Thursday: 12:00 – 4:00 PM', 'Friday: 12:00 – 4:00 PM', 'Saturday: 12:00 – 4:00 PM', 'Sunday: 12:00 – 4:00 PM']",6,24
Bearga Gallery,Bearga Gallery Inc.,ChIJpTf3SqTThVQRTHW_KFewEgA,5,3,"['Monday: Closed', 'Tuesday: 10:00 AM – 4:00 PM', 'Wednesday: 10:00 AM – 4:00 PM', 'Thursday: 10:00 AM – 4:00 PM', 'Friday: 10:00 AM – 4:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 10:00 AM – 4:00 PM']",6,36
Beaty Biodiversity Museum,Beaty Biodiversity Museum,ChIJsZ1NB8pyhlQRw4-fikYyFFU,4.5,662,"['Monday: Closed', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",6,42
Brighouse (Main) Branch,"Richmond Public Library, Brighouse Branch",ChIJ1czq6MkKhlQRKN-Sm7PwU_k,4.5,159,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: Closed']",6,46
Burnaby Art Gallery,Burnaby Art Gallery,ChIJF4VB4Ad3hlQRPqMcPvho50A,4.4,29,"['Monday: Closed', 'Tuesday: 10:00 AM – 4:30 PM', 'Wednesday: 10:00 AM – 4:30 PM', 'Thursday: 10:00 AM – 4:30 PM', 'Friday: 10:00 AM – 4:30 PM', 'Saturday: 12:00 – 5:00 PM', 'Sunday: 12:00 – 5:00 PM']",6,36
Canadian Music Centre (BC Region),Canadian Music Centre BC,ChIJjaOMidRzhlQRnK4h2w8Alqc,4.6,19,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: 1:00 – 5:00 PM', 'Sunday: Closed']",6,56
Cbc Studio 700,CBC Vancouver,ChIJEebhoX5xhlQRnvupVTKjikE,4.1,113,"['Monday: 8:00 AM – 7:00 PM', 'Tuesday: 8:00 AM – 7:00 PM', 'Wednesday: 8:00 AM – 7:00 PM', 'Thursday: 8:00 AM – 7:00 PM', 'Friday: 8:00 AM – 7:00 PM', 'Saturday: 11:00 AM – 3:00 PM', 'Sunday: Closed']",6,59
Chinese Canadian Military Museum,Chinese Cultural Centre Museum,ChIJX8hzfXpxhlQRXw-cLYmgyBM,4.1,79,"['Monday: Closed', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",6,42
Chinese Cultural Centre Museum And Archives,Chinese Cultural Centre Museum,ChIJX8hzfXpxhlQRXw-cLYmgyBM,4.1,79,"['Monday: Closed', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",6,42
Cityscape Community Art Space,CityScape Community Art Space,ChIJA0D6AkxwhlQRGfQKJp9Kmzo,4.5,15,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 8:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: 12:00 – 5:00 PM', 'Sunday: Closed']",6,48
Craft Council of British Columbia Gallery,Craft Council of BC,ChIJPQ6zHM9zhlQRJi__mFYu6nA,4.5,27,"['Monday: Closed', 'Tuesday: 11:00 AM – 5:00 PM', 'Wednesday: 11:00 AM – 5:00 PM', 'Thursday: 11:00 AM – 8:00 PM', 'Friday: 11:00 AM – 5:00 PM', 'Saturday: 11:00 AM – 5:00 PM', 'Sunday: 11:00 AM – 5:00 PM']",6,39
Field Contemporary,Eastvanchopcycle Custom Electric bicycles and repairs,ChIJZ3UV-uBzhlQRPmPr47mY-qw,5,1,"['Monday: 10:30 AM – 4:30 PM', 'Tuesday: 10:30 AM – 4:30 PM', 'Wednesday: 10:30 AM – 4:30 PM', 'Thursday: 10:30 AM – 4:30 PM', 'Friday: 10:30 AM – 4:30 PM', 'Saturday: 11:00 AM – 3:00 PM', 'Sunday: Closed']",6,34
Gallery-The Spa Ltd,Gallery-The Spa,ChIJY2LSRN93hlQRLjk-Fbz02nQ,4.6,73,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: Closed']",6,48
George Mackie Library,George Mackie Library,ChIJUzt0aBfZhVQRIqgH5_DMKSQ,4.6,56,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
Granville Island Gallery,Ukama Gallery,ChIJN1YA885zhlQRTZ_euOE8v9w,4.5,15,"['Monday: 11:00 AM – 3:00 PM', 'Tuesday: Closed', 'Wednesday: 11:00 AM – 5:00 PM', 'Thursday: 11:00 AM – 5:00 PM', 'Friday: 11:00 AM – 5:00 PM', 'Saturday: 11:00 AM – 6:00 PM', 'Sunday: 11:00 AM – 6:00 PM']",6,36
Hastings,"Vancouver Public Library, Hastings Branch",ChIJyz7poiFxhlQRfdGUH3O9KTY,4.5,37,"['Monday: Closed', 'Tuesday: 10:00 AM – 9:00 PM', 'Wednesday: 10:00 AM – 9:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 1:00 – 5:00 PM']",6,62
Heffel Gallery Ltd,Heffel Fine Art Auction House,ChIJiYEu0sdzhlQRHgdu4bAiyNY,3.8,8,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,47
Heritage House Rescue & Restoration,Heritage House Clocks,ChIJqeIljM0mTIYRgNCmu5kVCJM,4.4,38,"['Monday: 10:30 AM – 6:00 PM', 'Tuesday: 10:30 AM – 6:00 PM', 'Wednesday: 10:30 AM – 6:00 PM', 'Thursday: 10:30 AM – 6:00 PM', 'Friday: 10:30 AM – 6:00 PM', 'Saturday: 10:30 AM – 5:00 PM', 'Sunday: Closed']",6,44
Heritage Restoration Inc,Heritage Restorations,ChIJj1TiDgPOhVQRmSHtw1SpqA4,5,2,"['Monday: 7:30 AM – 5:00 PM', 'Tuesday: 7:30 AM – 5:00 PM', 'Wednesday: 7:30 AM – 5:00 PM', 'Thursday: 7:30 AM – 5:00 PM', 'Friday: 7:30 AM – 5:00 PM', 'Saturday: 8:00 AM – 12:00 PM', 'Sunday: Closed']",6,51.5
Improv Centre,Improv Centre,ChIJ1-Gui85zhlQRM2tVpv6iMAs,4.7,160,"['Monday: Closed', 'Tuesday: 6:00 – 8:30 PM', 'Wednesday: 6:00 – 8:30 PM', 'Thursday: 6:00 AM – 9:30 PM', 'Friday: 6:00 – 10:30 PM', 'Saturday: 6:00 – 11:30 PM', 'Sunday: 6:00 – 8:30 PM']",6,93
Inuit Gallery of Vancouver,Inuit Gallery Of Vancouver,ChIJW9JVzHlxhlQRg6J1F0sdmi4,4.6,33,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: Closed']",6,48
Ironwood Branch,"Richmond Public Library, Ironwood Branch",ChIJk6ONxXTghVQRd4Av3tea0IE,4,41,"['Monday: 10:00 AM – 4:00 PM', 'Tuesday: 10:00 AM – 4:00 PM', 'Wednesday: 10:00 AM – 4:00 PM', 'Thursday: 10:00 AM – 4:00 PM', 'Friday: 10:00 AM – 4:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: Closed']",6,36
Jennifer Kostuik Gallery,Jennifer Kostuik Gallery,ChIJxcyXZdZzhlQRIVHgfNIWXIA,3.8,15,"['Monday: Closed', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 12:00 – 4:00 PM']",6,43
Krachel Art,Richmond Art Gallery,ChIJfaA57MkKhlQR6hw-K_C9D3w,4.5,64,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: Closed']",6,46
Kube Gallery,The KUBE Gallery,ChIJtVjU3k3hhVQRZnBN-P3mSqI,5,3,"['Monday: Closed', 'Tuesday: 11:00 AM – 4:30 PM', 'Wednesday: 11:00 AM – 4:30 PM', 'Thursday: 11:00 AM – 4:30 PM', 'Friday: 11:00 AM – 4:30 PM', 'Saturday: 11:00 AM – 4:30 PM', 'Sunday: 11:00 AM – 4:30 PM']",6,33
Ladner Pioneer Library,Ladner Pioneer Library,ChIJeVsRs8PghVQR93UqVdN9lK0,4.5,32,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
Langley City Library,City of Langley Library,ChIJwzIQYtLPhVQRqT6a8kEvvdU,4.4,33,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
Library Link,Terry Fox Library,ChIJldonGqt4hlQRi_hUt7qiL48,4.2,52,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
Lynn Valley Main,North Vancouver District Public Library (Lynn Valley Branch),ChIJ7alxQApwhlQRE7Bz6C7KXmY,4.4,56,"['Monday: Closed', 'Tuesday: 10:00 AM – 8:00 PM', 'Wednesday: 10:00 AM – 8:00 PM', 'Thursday: 10:00 AM – 8:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",6,51
Maple Ridge Public Library,Maple Ridge Public Library,ChIJO5jGBl_ThVQR7aRwKSD8rtc,4.5,63,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
Morris And Helen Belkin Art Gallery,Morris and Helen Belkin Art Gallery,ChIJVY5dUbFyhlQR1d6WsHMdgs0,4.4,50,"['Monday: Closed', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 12:00 – 5:00 PM', 'Sunday: 12:00 – 5:00 PM']",6,38
Muriel Arnason Library,Muriel Arnason Library,ChIJAej8GNHRhVQRpRhFg2hEua8,3.8,12,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
