poi_name,Name,pid,Rating,Total_Review,opening_hours,open_days,Total_hours
Muriel Arnason Library (Willowbrook),Muriel Arnason Library,ChIJAej8GNHRhVQRpRhFg2hEua8,3.8,12,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
Murrayville Library,Murrayville Library,ChIJDaHO8VDOhVQRG53n6s8kD_U,4.4,9,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
Museum,White Rock Museum & Archives,ChIJp-cXznfDhVQR2sZybkviHTE,4.3,101,"['Monday: Closed', 'Tuesday: 12:00 – 4:00 PM', 'Wednesday: 12:00 – 4:00 PM', 'Thursday: 12:00 – 4:00 PM', 'Friday: 12:00 – 4:00 PM', 'Saturday: 12:00 – 4:00 PM', 'Sunday: 12:00 – 4:00 PM']",6,24
Museum of Anthropology,Museum of Anthropology,ChIJrf8w27NyhlQR44St4PQccfY,4.7,3406,"['Monday: Closed', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",6,42
Neca?Mat Ct Strathcona Branch,"Vancouver Public Library, nə́c̓aʔmat ct Strathcona Branch",ChIJe50bmW1xhlQRGZBG6AnoEZs,4.4,26,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 9:00 PM', 'Wednesday: 10:00 AM – 9:00 PM', 'Thursday: 10:00 AM – 9:00 PM', 'Friday: 10:00 AM – 9:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: Closed']",6,60
Newton Cultural Centre,Newton Cultural Centre,ChIJg3tcYy3ahVQRM481SSfsI28,4.1,27,"['Monday: Closed', 'Tuesday: 9:30 AM – 3:30 PM', 'Wednesday: 9:30 AM – 3:30 PM', 'Thursday: 9:30 AM – 3:30 PM', 'Friday: 9:30 AM – 3:30 PM', 'Saturday: 9:30 AM – 3:30 PM', 'Sunday: 9:30 AM – 3:30 PM']",6,36
Pendulum Gallery,Pendulum Gallery,ChIJLVda3oFxhlQRWwwnvqGhehc,4.2,12,"['Monday: 9:00 AM – 6:00 PM', 'Tuesday: 9:00 AM – 6:00 PM', 'Wednesday: 9:00 AM – 6:00 PM', 'Thursday: 9:00 AM – 9:00 PM', 'Friday: 9:00 AM – 9:00 PM', 'Saturday: 9:00 AM – 5:00 PM', 'Sunday: Closed']",6,59
Pitt Meadows Public Library,Pitt Meadows Public Library,ChIJh6hFJT_UhVQRtO4PSLqlEB4,4.4,33,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
Port Moody Public Library,Port Moody Public Library,ChIJpwSuwdl4hlQRlXttOlON5kU,4.6,68,"['Monday: 10:00 AM – 5:00 PM', 'Tuesday: 12:30 – 7:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,41.5
Richmond Art Gallery,Richmond Art Gallery,ChIJfaA57MkKhlQR6hw-K_C9D3w,4.5,64,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: Closed']",6,46
Richmond Museum,Richmond Museum,ChIJP4INEgALhlQRnDq2nTIOTL0,5,1,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: Closed']",6,46
Richmond Public Library,"Richmond Public Library, Brighouse Branch",ChIJ1czq6MkKhlQRKN-Sm7PwU_k,4.5,159,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: Closed']",6,46
Rob Fee,BestWest Roofing Inc,ChIJ2-EL2g7YhVQR_0vxs9MXGX0,5,40,"['Monday: 8:00 AM – 6:00 PM', 'Tuesday: 8:00 AM – 6:00 PM', 'Wednesday: 8:00 AM – 6:00 PM', 'Thursday: 8:00 AM – 6:00 PM', 'Friday: 8:00 AM – 6:00 PM', 'Saturday: 8:00 AM – 6:00 PM', 'Sunday: Closed']",6,60
Royal City Youth Ballet,Royal City Youth Ballet,ChIJh7oB-XHYhVQRuj_VgInotqc,5,1,"['Monday: 12:00 – 4:00 PM', 'Tuesday: 12:00 – 4:00 PM', 'Wednesday: 12:00 – 4:00 PM', 'Thursday: 12:00 – 4:00 PM', 'Friday: 12:00 – 8:00 PM', 'Saturday: 12:00 – 4:00 PM', 'Sunday: Closed']",6,28
Royal Principal Ballet Academy Ltd,Royal Principal Ballet Academy,ChIJo6E3LC7ZhVQROUcwXbSxaYk,5,1,"['Monday: 3:30 – 7:30 PM', 'Tuesday: 3:30 – 7:30 PM', 'Wednesday: 3:30 – 7:30 PM', 'Thursday: 3:30 – 7:30 PM', 'Friday: 3:30 – 7:30 PM', 'Saturday: 9:00 AM – 2:00 PM', 'Sunday: Closed']",6,85
Satellite Gallery,Bill Reid Gallery Satellite Shop,ChIJK5sv1TtxhlQRXA1O3Eqwvio,5,1,"['Monday: 11:00 AM – 5:00 PM', 'Tuesday: 11:00 AM – 5:00 PM', 'Wednesday: 11:00 AM – 5:00 PM', 'Thursday: 11:00 AM – 5:00 PM', 'Friday: 11:00 AM – 5:00 PM', 'Saturday: 11:00 AM – 5:00 PM', 'Sunday: Closed']",6,36
South Hill,South Hill Education Centre,ChIJD9NkYhR0hlQR-K3GxskAv_k,3.2,29,"['Monday: 8:30 AM – 9:30 PM', 'Tuesday: 8:30 AM – 9:30 PM', 'Wednesday: 8:30 AM – 9:30 PM', 'Thursday: 8:30 AM – 9:30 PM', 'Friday: 8:30 AM – 9:30 PM', 'Saturday: 8:30 AM – 2:00 PM', 'Sunday: Closed']",6,70.5
Spirit Wrestler Gallery,Inuit Gallery Of Vancouver,ChIJW9JVzHlxhlQRg6J1F0sdmi4,4.6,33,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: Closed']",6,48
St James Community Square,St James Community Square,ChIJ8-LY5KpzhlQRjb7KYI2etJk,4.3,88,"['Monday: 10:00 AM – 4:00 PM', 'Tuesday: 10:00 AM – 4:00 PM', 'Wednesday: 10:00 AM – 4:00 PM', 'Thursday: 10:00 AM – 4:00 PM', 'Friday: 10:00 AM – 4:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: Closed']",6,36
Stagecoach Theatre Arts School,Lights Up Musical Theatre Schools - Langley (South),ChIJ45Tv71_OhVQRbWUE9vIyrIk,4.4,7,"['Monday: 9:00 AM – 3:00 PM', 'Tuesday: 9:00 AM – 3:00 PM', 'Wednesday: 9:00 AM – 3:00 PM', 'Thursday: 9:00 AM – 3:00 PM', 'Friday: 9:00 AM – 3:00 PM', 'Saturday: 9:00 AM – 1:00 PM', 'Sunday: Closed']",6,34
Steveston Branch,"Richmond Public Library, Steveston Branch",ChIJkS0tK9jhhVQRZNQSCoDEtQY,3.8,16,"['Monday: 10:00 AM – 4:00 PM', 'Tuesday: 10:00 AM – 4:00 PM', 'Wednesday: 10:00 AM – 4:00 PM', 'Thursday: 10:00 AM – 4:00 PM', 'Friday: 10:00 AM – 4:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: Closed']",6,36
Strathcona Branch,"Vancouver Public Library, nə́c̓aʔmat ct Strathcona Branch",ChIJe50bmW1xhlQRGZBG6AnoEZs,4.4,26,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 9:00 PM', 'Wednesday: 10:00 AM – 9:00 PM', 'Thursday: 10:00 AM – 9:00 PM', 'Friday: 10:00 AM – 9:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: Closed']",6,60
Terry Fox Library,Terry Fox Library,ChIJldonGqt4hlQRi_hUt7qiL48,4.2,52,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
Tsawwassen Library,Tsawwassen Library,ChIJi_7F_l_mhVQRYtWXhaWcBW0,4.1,9,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
UBC Museum of Anthropology,Museum of Anthropology,ChIJrf8w27NyhlQR44St4PQccfY,4.7,3406,"['Monday: Closed', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: 10:00 AM – 5:00 PM']",6,42
Vancouver Contemporary Art Gallery,Contemporary Art Gallery,ChIJpWYR79VzhlQRYo-cR-_0ktg,3.9,197,"['Monday: Closed', 'Tuesday: 12:00 – 6:00 PM', 'Wednesday: 12:00 – 6:00 PM', 'Thursday: 12:00 – 6:00 PM', 'Friday: 12:00 – 6:00 PM', 'Saturday: 12:00 – 6:00 PM', 'Sunday: 12:00 – 6:00 PM']",6,36
Walnut Grove Library,Dean Drysdale Library,ChIJF8g8VCvShVQRMBcI4Fp-bes,4.3,25,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
West Point Grey Branch,"Vancouver Public Library, West Point Grey Branch",ChIJZal4yeVyhlQRbYvOl9YmG6k,4.5,19,"['Monday: Closed', 'Tuesday: 9:30 AM – 7:00 PM', 'Wednesday: 9:30 AM – 6:00 PM', 'Thursday: 9:30 AM – 7:00 PM', 'Friday: 9:30 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: 1:00 – 5:00 PM']",6,60
White Rock Library,White Rock Library,ChIJQzBkD4LDhVQRn-f3SjvnPX0,4.2,29,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",6,46
White Rock Museum And Archives,White Rock Museum & Archives,ChIJp-cXznfDhVQR2sZybkviHTE,4.3,101,"['Monday: Closed', 'Tuesday: 12:00 – 4:00 PM', 'Wednesday: 12:00 – 4:00 PM', 'Thursday: 12:00 – 4:00 PM', 'Friday: 12:00 – 4:00 PM', 'Saturday: 12:00 – 4:00 PM', 'Sunday: 12:00 – 4:00 PM']",6,24
12 Service Battalion Museum,39 Service Battalion (12 Company) Richmond,ChIJhwQHwzh1hlQRJdE3ZdQPI9I,5,8,"['Monday: 9:30 AM – 4:00 PM', 'Tuesday: 9:30 AM – 4:00 PM', 'Wednesday: 9:30 AM – 4:00 PM, 7:00 – 10:00 PM', 'Thursday: 9:30 AM – 4:00 PM', 'Friday: 9:30 AM – 4:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,35.5
Accessible Services,"Vancouver Public Library, Accessible Services",ChIJt5UnLmBxhlQR6MgBDf1WH10,5,1,"['Monday: 10:00 AM – 5:30 PM', 'Tuesday: 10:00 AM – 5:30 PM', 'Wednesday: 10:00 AM – 5:30 PM', 'Thursday: 10:00 AM – 5:30 PM', 'Friday: 10:00 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",5,37.5
Alliance For Arts And Culture,Alliance for Arts and Culture,ChIJ5WClfNVzhlQR18C_tp4-Ny0,4.8,8,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,40
Anvil Centre/Museum And Archives,New Westminster Museum,ChIJVWdV0gzYhVQRObpum5rNjd0,4.3,72,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 9:50 AM – 4:50 PM', 'Thursday: 9:50 AM – 4:50 PM', 'Friday: 9:50 AM – 4:50 PM', 'Saturday: 9:50 AM – 4:50 PM', 'Sunday: 9:50 AM – 4:50 PM']",5,35
Architectural Institute of BC Gallery,Architectural Institute of British Columbia,ChIJkUVKKXhxhlQRLvKX6Ir1X8w,4.6,11,"['Monday: 8:30 AM – 5:00 PM', 'Tuesday: 8:30 AM – 5:00 PM', 'Wednesday: 8:30 AM – 5:00 PM', 'Thursday: 8:30 AM – 5:00 PM', 'Friday: 8:30 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,42.5
Archives of Anglican Provincial Synod of British Columbia And Diocese of New Westminster,Anglican Diocese of New Westminster,ChIJj1LRjJBzhlQRWLKLtxnChDo,4.3,10,"['Monday: 9:00 AM – 4:00 PM', 'Tuesday: 9:00 AM – 4:00 PM', 'Wednesday: 9:00 AM – 4:00 PM', 'Thursday: 9:00 AM – 4:00 PM', 'Friday: 9:00 AM – 4:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,35
Arts & Cultural Centre,Evergreen Cultural Centre,ChIJlQY3OzB_hlQR6gdzsnFqLBE,4.5,417,"['Monday: 12:00 – 5:00 PM', 'Tuesday: 12:00 – 5:00 PM', 'Wednesday: 12:00 – 5:00 PM', 'Thursday: 12:00 – 5:00 PM', 'Friday: 12:00 – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,25
Artspeak Gallery,Artspeak Gallery,ChIJ16ZETXdxhlQRT7OGxnNnn1Y,4.2,6,"['Monday: Closed', 'Tuesday: 12:00 – 5:00 PM', 'Wednesday: 12:00 – 5:00 PM', 'Thursday: 12:00 – 5:00 PM', 'Friday: 12:00 – 5:00 PM', 'Saturday: 12:00 – 5:00 PM', 'Sunday: Closed']",5,25
Artstarts In Schools,ArtStarts in Schools,ChIJjW7NaX5xhlQRHwpvPmkoDf8,4,3,"['Monday: Closed', 'Tuesday: 10:00 AM – 4:30 PM', 'Wednesday: 10:00 AM – 4:30 PM', 'Thursday: 10:00 AM – 4:30 PM', 'Friday: 10:00 AM – 4:30 PM', 'Saturday: 10:00 AM – 4:30 PM', 'Sunday: Closed']",5,32.5
Audain Gallery,Audain Gallery | SFU Galleries,ChIJH6RQmnlxhlQR7hOwOjH4QGQ,4.2,5,"['Monday: Closed', 'Tuesday: 12:00 – 5:00 PM', 'Wednesday: 12:00 – 5:00 PM', 'Thursday: 12:00 – 5:00 PM', 'Friday: 12:00 – 8:00 PM', 'Saturday: 12:00 – 5:00 PM', 'Sunday: Closed']",5,28
Baf Studio,Burrard Arts Foundation (BAF),ChIJX1GasOFzhlQRlbOO8nPC0aA,4.6,13,"['Monday: Closed', 'Tuesday: 12:00 – 5:00 PM', 'Wednesday: 12:00 – 5:00 PM', 'Thursday: 12:00 – 5:00 PM', 'Friday: 12:00 – 5:00 PM', 'Saturday: 12:00 – 5:00 PM', 'Sunday: Closed']",5,25
Bill Reid Gallery,Bill Reid Gallery of Northwest Coast Art,ChIJ09HC74FxhlQRHyXyCAa8AJQ,4.5,269,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 11:00 AM – 5:00 PM', 'Thursday: 11:00 AM – 5:00 PM', 'Friday: 11:00 AM – 5:00 PM', 'Saturday: 11:00 AM – 5:00 PM', 'Sunday: 11:00 AM – 5:00 PM']",5,30
Bowen Island Museum And Archives,Bowen Island Museum and Archive,ChIJr8ffsQlrhlQRWxupYlGGcMY,3.9,7,"['Monday: Closed', 'Tuesday: 12:00 – 4:00 PM', 'Wednesday: 12:00 – 4:00 PM', 'Thursday: 12:00 – 4:00 PM', 'Friday: 12:00 – 4:00 PM', 'Saturday: Closed', 'Sunday: 12:00 – 4:00 PM']",5,20
British Columbia History of Nursing Society,British Columbia College of Nursing Professionals,ChIJ_UC0XMpxhlQRjquJR378Oxs,1.1,39,"['Monday: 8:30 AM – 4:30 PM', 'Tuesday: 8:30 AM – 4:30 PM', 'Wednesday: 8:30 AM – 4:30 PM', 'Thursday: 8:30 AM – 4:30 PM', 'Friday: 8:30 AM – 4:30 PM', 'Saturday: Closed', 'Sunday: Closed']",5,40
Brookswood Library,Brookswood Library,ChIJ0ScsWprPhVQRqAM-8i_pd-g,5,6,"['Monday: Closed', 'Tuesday: 10:00 AM – 12:30 PM, 1:00 – 6:00 PM', 'Wednesday: 10:00 AM – 12:30 PM, 1:00 – 6:00 PM', 'Thursday: 10:00 AM – 12:30 PM, 1:00 – 5:00 PM', 'Friday: 10:00 AM – 12:30 PM, 1:00 – 5:00 PM', 'Saturday: 10:00 AM – 12:30 PM, 1:00 – 5:00 PM', 'Sunday: Closed']",5,34.5
Cambie Branch,Richmond Public Library: Cambie Branch,ChIJ08lGcw51hlQRnpbmuKTYAfE,4.1,34,"['Monday: 10:00 AM – 4:00 PM', 'Tuesday: 10:00 AM – 4:00 PM', 'Wednesday: 10:00 AM – 4:00 PM', 'Thursday: 10:00 AM – 4:00 PM', 'Friday: 10:00 AM – 4:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,30
Canadian Museum Flight Association,Canadian Museum of Flight,ChIJlzyfJ0bOhVQRHLgf-fCQIGw,4.6,221,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 10:00 AM – 4:00 PM', 'Thursday: 10:00 AM – 4:00 PM', 'Friday: 10:00 AM – 4:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 12:00 – 5:00 PM']",5,29
Canadian Museum of Flight Association,Canadian Museum of Flight,ChIJlzyfJ0bOhVQRHLgf-fCQIGw,4.6,221,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 10:00 AM – 4:00 PM', 'Thursday: 10:00 AM – 4:00 PM', 'Friday: 10:00 AM – 4:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: 12:00 – 5:00 PM']",5,29
Capilano University Archives,Capilano University Library,ChIJU1APZn5whlQRJVnpclbjnNA,5,7,"['Monday: 8:00 AM – 5:00 PM', 'Tuesday: 8:00 AM – 5:00 PM', 'Wednesday: 8:00 AM – 5:00 PM', 'Thursday: 8:00 AM – 5:00 PM', 'Friday: 8:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,45
Chapel Arts,Chapel Arts,ChIJGYPjjXFxhlQRj9M9svy1ySU,4.4,14,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,40
City of Vancouver Archives,City of Vancouver Archives,ChIJb5FE0cxzhlQRhNcsezlkRiA,4.3,18,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,40
Coquitlam Heritage Society Operating Mackin House,Coquitlam Heritage at Mackin House,ChIJl2CNVXJ4hlQRE3nLB9oxCHY,4.5,30,"['Monday: Closed', 'Tuesday: 11:00 AM – 5:00 PM', 'Wednesday: 11:00 AM – 5:00 PM', 'Thursday: 11:00 AM – 5:00 PM', 'Friday: 11:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 4:00 PM', 'Sunday: Closed']",5,30
Eagle Spirit Gallery,Eagle Spirit Gallery,ChIJDRs7885zhlQRnvQXHXNF-aA,4.2,25,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 11:00 AM – 5:00 PM', 'Thursday: 11:00 AM – 5:00 PM', 'Friday: 11:00 AM – 5:00 PM', 'Saturday: 11:00 AM – 5:00 PM', 'Sunday: 11:00 AM – 5:00 PM']",5,30
Equinox Gallery,Equinox Gallery,ChIJORQNxsdzhlQRkjsytcr0cXE,4.4,42,"['Monday: Closed', 'Tuesday: 10:00 AM – 5:00 PM', 'Wednesday: 10:00 AM – 5:00 PM', 'Thursday: 10:00 AM – 5:00 PM', 'Friday: 10:00 AM – 5:00 PM', 'Saturday: 10:00 AM – 5:00 PM', 'Sunday: Closed']",5,35
Evergreen Cultural Centre Society,Evergreen Cultural Centre,ChIJlQY3OzB_hlQR6gdzsnFqLBE,4.5,417,"['Monday: 12:00 – 5:00 PM', 'Tuesday: 12:00 – 5:00 PM', 'Wednesday: 12:00 – 5:00 PM', 'Thursday: 12:00 – 5:00 PM', 'Friday: 12:00 – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,25
Firehall Arts Centre,Firehall Arts Centre,ChIJaxqNCXFxhlQRwFj7lwMLrUw,4.3,172,"['Monday: 9:30 AM – 4:00 PM', 'Tuesday: 9:30 AM – 4:00 PM', 'Wednesday: 9:30 AM – 4:00 PM', 'Thursday: 9:30 AM – 4:00 PM', 'Friday: 9:30 AM – 4:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,32.5
Firehall Branch,"Vancouver Public Library, Firehall Branch",ChIJh_Vsb8dzhlQRo3zWwxVDwbI,4.5,24,"['Monday: Closed', 'Tuesday: 10:00 AM – 8:00 PM', 'Wednesday: 10:00 AM – 8:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: Closed']",5,44
Fort Langley Library,Fort Langley Library,ChIJnVHukVjShVQR5q2S5hGCkoA,4.8,13,"['Monday: Closed', 'Tuesday: 10:00 AM – 12:30 PM, 1:00 – 5:00 PM', 'Wednesday: 10:00 AM – 12:30 PM, 1:00 – 5:00 PM', 'Thursday: 10:00 AM – 12:30 PM, 1:00 – 5:00 PM', 'Friday: 10:00 AM – 12:30 PM, 1:00 – 5:00 PM', 'Saturday: 10:00 AM – 12:30 PM, 1:00 – 5:00 PM', 'Sunday: Closed']",5,32.5
Gallery Gachet,Gallery Gachet,ChIJQ8xfv3BxhlQRO0J7RqkHBZ0,4.4,14,"['Monday: Closed', 'Tuesday: 12:00 – 6:00 PM', 'Wednesday: 12:00 – 6:00 PM', 'Thursday: 12:00 – 6:00 PM', 'Friday: 12:00 – 6:00 PM', 'Saturday: 12:00 – 6:00 PM', 'Sunday: Closed']",5,30
Gallery Jones,Gallery Jones Fine Arts Ltd,ChIJR2S_phBuhlQRM9-rkVuzQcA,4.8,17,"['Monday: Closed', 'Tuesday: 11:00 AM – 6:00 PM', 'Wednesday: 11:00 AM – 6:00 PM', 'Thursday: 11:00 AM – 6:00 PM', 'Friday: 11:00 AM – 6:00 PM', 'Saturday: 12:00 – 5:00 PM', 'Sunday: Closed']",5,33
Greater Vancouver Regional District Parks Department,Metro Vancouver,ChIJO9QYqVh2hlQRtTEWjh04mrA,4.5,4,"['Monday: 8:00 AM – 4:30 PM', 'Tuesday: 8:00 AM – 4:30 PM', 'Wednesday: 8:00 AM – 4:30 PM', 'Thursday: 8:00 AM – 4:30 PM', 'Friday: 8:00 AM – 4:30 PM', 'Saturday: Closed', 'Sunday: Closed']",5,42.5
Grunt Gallery,grunt gallery,ChIJfdHGal5xhlQRyxsO2eYBmlc,4.4,16,"['Monday: Closed', 'Tuesday: 12:00 – 5:00 PM', 'Wednesday: 12:00 – 5:00 PM', 'Thursday: 12:00 – 5:00 PM', 'Friday: 12:00 – 5:00 PM', 'Saturday: 12:00 – 5:00 PM', 'Sunday: Closed']",5,25
H.R. Macmillan Space Centre,H.R. MacMillan Space Centre,ChIJX-DfNzNyhlQR76LZl5hs5bc,3.7,262,"['Monday: 9:30 AM – 4:30 PM', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 9:30 AM – 4:30 PM', 'Friday: 6:45 – 11:45 PM', 'Saturday: 9:30 AM – 4:30 PM', 'Sunday: 9:30 AM – 4:30 PM']",5,45
Heritage Christian School,Heritage Christian Academy,ChIJKRdIj1wOkFQR33SQgpoN_ig,4.6,12,"['Monday: 7:00 AM – 6:00 PM', 'Tuesday: 7:00 AM – 6:00 PM', 'Wednesday: 7:00 AM – 6:00 PM', 'Thursday: 7:00 AM – 6:00 PM', 'Friday: 7:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5,55
