poi_name,Name,pid,Rating,Total_Review
Kensington,The Kensington,ChIJpZRhkeWJglQRh8CE0RmS9lM,no data,0.0
Keremeos Branch,Royal Canadian Legion Branch 192,ChIJ5c6LFwflglQRzToIZNAbq1M,4.2,11.0
Kerrisdale,Kerrisdale,ChIJU26xVGVzhlQRnWelOsO5RnE,no data,0.0
Khot-La-Cha Art Gallery,Khot-La-Cha Art Gallery & Gift Shop,ChIJM1OZs9txhlQRVhI25fM3l_A,4,5.0
Kimberley Public Library,Kimberley Public Library,ChIJERMk7PDUZFMRFwmTZbdg16s,4.5,6.0
Kits Point Military History Museum,Vancouver Maritime Museum,ChIJiVHFdzNyhlQRjW3eJ2KKZM0,4.4,188.0
Kitsilano,Kitsilano,ChIJaakf77JzhlQRKLsSHv5SUBc,no data,0.0
Kizmit Gift Gallery Inc,Kizmit Gift Gallery,ChIJfW6FLfbShVQRSra14rGz3jY,4.9,9.0
Krachel Art,West Kelowna Music School,ChIJp11hTTd1glQRSSkSRL9dS1w,5,7.0
Kube Gallery,The KUBE Gallery,ChIJtVjU3k3hhVQRZnBN-P3mSqI,5,3.0
Kw Atrium Studio,KW Atrium Studio,ChIJL5hTiXlxhlQR1vaApu3pflw,5,1.0
Kyle Mckillop,McKillop Insurance & Registry Services Inc.,ChIJd2qwi8eHblMRdjGJe4GkZA8,4,101.0
Labyrinth Gallery,Isobel Davis Art,ChIJ4TGFyaJqkFQRD8t78mJUEGE,no data,0.0
Lac La Hache,Lac la Hache,ChIJqyilIXBhgFMR-1d9lDZ9fz8,no data,0.0
Langley Centennial Museum,Langley Centennial Museum & Exhibition Centre,ChIJaajwdPbShVQRik-zbZqyktE,4.4,141.0
Lanta Meng,Lanta Meng Studio,ChIJayway_d3hlQRgcg1WuSmO3k,no data,0.0
Lattimer Gallery,Lattimer Gallery,ChIJYX-6P8lzhlQRzOxgwTC5Eho,4.5,55.0
Laura C. Muir Performing Arts Theatre,Laura C Muir Performing Arts,ChIJ_1sgl3HYhVQRhOjmf7KaOBs,3.8,4.0
Legacy Heritage Consultants,Legacy Heritage Fund,ChIJubjX_u9YwokR-VXaRUV-HOI,1,1.0
Library,UBC Okanagan Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4,3.7,11.0
Library Link,UBC Okanagan Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4,3.7,11.0
Lillooet Public Library,Lillooet Public Library,ChIJIbpoxTeKgFQRNYWm44xZpQY,5,1.0
Lipsett Glazing Systems Inc,Lipsett Glazing Systems,ChIJOzCGX-h3hlQRxHmWfw3JcY0,no data,0.0
Lisa Bunting,"Lisa Bunting, MD",ChIJd00enZ27uokR1vEFILIBn7o,5,1.0
Little Mountain Gallery,Little Mountain Gallery,ChIJb13tafdzhlQR2arL0KyjZZI,4.8,96.0
Lobby Gallery,Art Lovers Gallery,ChIJt5tlDAH1fVMRaF2ok5EoX3k,5,1.0
Lorrie Wager,,0,,
Lynn Canyon Ecology Centre,Lynn Canyon Ecology Centre,ChIJ9_uZd5x6hlQRmKO8qgiyZ3s,4.6,3337.0
Lynn Valley Heritage Museum And Archives,MONOVA: Archives of North Vancouver,ChIJWTqqraB6hlQRAX6xAuOtI8Q,4,3.0
Main Branch,RBC Royal Bank,ChIJjZb74Kj0fVMRFqsry92g9XA,3.4,12.0
Make Gallery,Hambleton Galleries,ChIJ9f3ZsFjzfVMRFCXPWEcBhJA,4.9,53.0
Malaspina Printmakers Gallery,Malaspina Printmakers Society,ChIJRxH4is5zhlQRo4VTD-Bg3CE,4.9,15.0
Malkin Bowl,Malkin Bowl,ChIJY2kX8IxxhlQRMtQP6o-w-sY,4.5,199.0
Maple Ridge And Pitt Meadows Arts Council,The ACT Art Gallery,ChIJj9FSWV7ThVQRHWXsr0btQ4I,5,1.0
Maple Ridge Museum,Maple Ridge Museum & Community Archives,ChIJF_K5z2fThVQRWdiwdo-HF8E,4.2,41.0
Margo Prentice Stand-Up Comic,,0,,
"Margo Prentice, Golden Age Theatre, Artistic Director",,0,,
Marilyn Norry,,0,,
Marion Scott Gallery,Marion Scott Gallery,ChIJLYQCM3hxhlQR-qSOuoni8Bs,no data,0.0
Marpole,Marpole,ChIJjTdY9e10hlQRcJvGNd1RUx8,no data,0.0
Marya Mclellan,,0,,
Massey Theatre,Massey Theatre,ChIJEXcdR27YhVQRDW-AvTKmIIA,4.2,425.0
Massey Theatre Society,Massey Theatre,ChIJEXcdR27YhVQRDW-AvTKmIIA,4.2,425.0
Mcgill Library,UBC Okanagan Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4,3.7,11.0
Mcleese Lake,McLeese Lake,ChIJqWEAyvRMh1MRG6rDrIVf6CI,no data,0.0
Metro Theatre,Metro Theatre Centre,ChIJPW1thul0hlQRf5GRVd2Ogo4,4.3,98.0
Midway Public Library,Midway Public Library,ChIJlQ6VmLJUnVQRliCspddZbvc,5,1.0
Monte Clark Gallery,Monte Clark Gallery,ChIJN0Znx8dzhlQRgJHRIKMC2rA,4.5,16.0
Morris And Helen Belkin Art Gallery,Morris and Helen Belkin Art Gallery,ChIJVY5dUbFyhlQR1d6WsHMdgs0,4.4,50.0
Mount Pleasant,Mount Pleasant,ChIJI6554F5xhlQRBuVvIo-0v8A,no data,0.0
Muriel Arnason Library (Willowbrook),Muriel Arnason Library,ChIJAej8GNHRhVQRpRhFg2hEua8,3.8,12.0
Murrayville Library,Murrayville Library,ChIJDaHO8VDOhVQRG53n6s8kD_U,4.4,8.0
Museum,Geert Maas Sculpture Gardens and Gallery,ChIJNemrRZXyfVMRC5PKpXN6YqM,3.7,23.0
Museum Annex,Delta Museum,ChIJ19wKwunghVQRHJTzfCZ8s_4,3.4,5.0
Museum of Anthropology,Museum of Anthropology,ChIJrf8w27NyhlQR44St4PQccfY,4.7,3403.0
Museum of Original Costume The,The Costume Museum,ChIJvacc-9l1j1QRt72V6STWesA,no data,0.0
Museum of Surrey,Museum of Surrey,ChIJAaLgLAjQhVQRBAq1YXF0erg,4.5,418.0
Museum of Vancouver,Museum of Vancouver,ChIJHZSzNzNyhlQRzmus61cqE5Y,4.3,522.0
Music Box Music And Theatre Academy,Music Box New Westminster's Music Academy,ChIJo7E9C3LYhVQRxjNZ3FFDpy0,4.8,22.0
Naramata Branch,Naramata Library | ORL Branch,ChIJ6QUMc0l7glQRdSqO7Qhxyd4,5,2.0
National Nikkei Museum - Heritage Centre,Nikkei National Museum & Cultural Centre,ChIJLyeICDV2hlQRLTTkKjyW6co,4.4,622.0
New West Artists Society,Arts Council of New Westminster,ChIJm9gL3eF3hlQRYLounZbUyJE,4.8,9.0
New West Heritage Hall,Heritage Banquet Hall,ChIJkeF8B9d3hlQRzcuQoJnmfWE,3.9,9.0
New Westminster Historical Society,The Museum of the Royal Westminster Regiment Historical Society,ChIJ5zj2mXPYhVQRE0rdictytQI,4.7,30.0
New Westminster Hyack Festival Association,Hyack Festival Association,ChIJ3_dUV27YhVQRDRDCJhd-K0M,4.9,8.0
New Westminster Museum & Archives,New Westminster Museum,ChIJVWdV0gzYhVQRObpum5rNjd0,4.3,72.0
New Westminster Public Library,New Westminster Public Library,ChIJg5gsWpHYhVQRPucjR13zSvw,4.1,9.0
New Westminster Public Library And Archives,New Westminster Public Library,ChIJjUW1sNh3hlQRpPVardz4bQY,4.2,117.0
Newton Cultural Centre,Newton Cultural Centre,ChIJg3tcYy3ahVQRM481SSfsI28,4.1,27.0
Norman Rothstein Theatre,Norman Rothstein Theatre,ChIJta5c93h0hlQRQdc4TV2xxbY,4.2,80.0
North Vancouver Museum & Archives,MONOVA: Museum of North Vancouver,ChIJBQq4UFdxhlQR4j6AUCgfCos,5,3.0
Oblates of Mary Immaculate St. Paul's Province -Oblate Archives,,0,,
Old Auditorium,Odd Fellows Hall,ChIJAx4t60-LfVMRp4yWagIjK0Y,no data,0.0
On Main Gallery,Kelowna Art Gallery,ChIJBRtRSKf0fVMRUu4qsHOn4vs,4.5,214.0
Or Gallery,Or Gallery,ChIJzyCIRnlxhlQRtRcithH2IOg,4.4,10.0
Orpheum Annex,Annex,ChIJxy_lS35xhlQRR-M1-FHRlQg,4.5,119.0
Orpheum Theatre,The Orpheum,ChIJXYebzX9xhlQRnChzu0W7GW8,4.7,2808.0
Outreach Services,Seniors Outreach Services Society,ChIJHVQQjriMfVMRxOWEs23Ng5I,4.4,11.0
Pacific Cinémathèque,The Cinematheque,ChIJnSJO_9RzhlQR02WmJ7AlO3s,4.5,269.0
Pacific Museum of Earth,Pacific Museum of Earth,ChIJh7j5aspyhlQRTnlQmtvJeyU,4.4,115.0
Pacific Theatre,Pacific Theatre,ChIJbdUaVr9zhlQRMJAh2Gg_XYc,4.6,118.0
Pal Studio Theatre,Pal Studio Theatre,ChIJCf2eJYZxhlQROagIdiJjAAY,4.5,52.0
Pender Island Public Library,Pender Island Public Library,ChIJG9U4sw5gj1QR-pHilykQ5F4,4.5,4.0
Pendulum Gallery,Pendulum Gallery,ChIJLVda3oFxhlQRWwwnvqGhehc,4.2,12.0
Penticton Public Library,Penticton Public Library,ChIJSb_w2XdiglQRghUAJBxPcN4,4.8,20.0
Performance Works,Performance Works,ChIJ8dXFmM9zhlQRK7b4fowQYx8,4.4,199.0
Peri-Laine Nilan,,0,,
Peter Kiss Gallery,Peter Kiss Gallery Inc,ChIJu9_w_85zhlQRBcwAfSaVI-A,5,7.0
Peter Lojewski,Blazej Lojewski M.D.,ChIJ0ZcLIszJD4gRZ4U8ikud9BE,no data,0.0
Petley Jones Gallery,Petley Jones Gallery,ChIJmyfU08dzhlQRbxSU7vzHfuA,4.8,4.0
Pitt Meadows Museum,Pitt Meadows Museum General Store,ChIJOW55mUfUhVQRk1ozsqR9Itg,4.2,11.0
Pitt Meadows Public Library,Pitt Meadows Public Library,ChIJh6hFJT_UhVQRtO4PSLqlEB4,4.4,33.0
Plaskett Gallery,Massey Theatre,ChIJEXcdR27YhVQRDW-AvTKmIIA,4.2,425.0
Points West Heritage Consulting Ltd,Points West Heritage Conslntng,ChIJC23OevLIhVQROq0kFYtI8kI,4,1.0
Port Coquitlam Heritage & Cultural Society,PoCo Heritage Museum and Archives,ChIJszrLp6x4hlQRI3_Tsq2hXL0,4.5,17.0
Port Mcneill Branch,CIBC Branch with ATM,ChIJGZYkp8V5Y1QRH9CMrciAQNk,5,1.0
Port Moody Public Library,Port Moody Public Library,ChIJpwSuwdl4hlQRlXttOlON5kU,4.6,67.0
Port Moody Station Museum,Port Moody Station Museum,ChIJFU19_h15hlQRD--S5voqh_g,4.5,110.0
Port Renfrew Branch,Vancouver Island Regional Library - Port Renfrew Branch,ChIJ941Ef5rXjlQRUTCJyTML-Wo,5,1.0
Presentation House Gallery,Presentation House Gallery,ChIJMTeMw0twhlQR2kIwfJvNlQg,5,4.0
Princeton Branch,Princeton Branch,ChIJQ-9w6MXgw4kRuve87rfsHlA,no data,0.0
Qualicum Beach Branch,Qualicum Beach Branch Library,ChIJjXixvNSOiFQRzhy3EIcJHnY,4.4,9.0
Queen Elizabeth Park,Queen Elizabeth Park,ChIJIcZrTvVzhlQRiKTnD03vt7Q,4.7,10438.0
Queen Elizabeth Theatre,Queen Elizabeth Theatre,ChIJ5_VBAXxxhlQRWnjI61A3nX8,4.5,3666.0
Radium Hot Springs Public Library,Radium Hot Springs Public Library,ChIJgfS3qyRvelMRY8gMndiSnfU,5,2.0
Razzberry Art And Design,Beautiful Diamond Painting Design,ChIJYzRz2TMLhlQR31hA_SBxFtI,5,1.0
Remington Gallery And Studio,,0,,
Rennie Collection At Wing Sang,The Rennie Collection,ChIJ8_lYN3pxhlQRFduDugWkFWs,no data,0.0
Revelstoke Branch,Revelstoke Library | ORL Branch,ChIJTUEixAU3eVMRz-iz1YdznNY,4.4,5.0
Richard R. Carswell,,0,,
Richmond Art Gallery,Richmond Art Gallery,ChIJfaA57MkKhlQR6hw-K_C9D3w,4.5,64.0
Richmond Museum,Richmond Museum,ChIJP4INEgALhlQRnDq2nTIOTL0,5,1.0
Richmond Nature Park,Richmond Nature Park,ChIJBU91Ump1hlQRNhss6L2V8s4,4.4,795.0
Rickshaw Theatre,Rickshaw Theatre,ChIJD3NnrXFxhlQRWqziQZQhHHw,4.4,874.0
Rio Theatre,Rio Theatre,ChIJifVE3k5xhlQRUcBOhcGR4Rs,4.6,1673.0
Rob Fee,BestWest Roofing Inc,ChIJ2-EL2g7YhVQR_0vxs9MXGX0,5,40.0
Roedde House,Roedde House Museum,ChIJj1udwilyhlQR1FRRZudhLlE,4.5,172.0
Rossland Public Library Association,Rossland Public Library,ChIJ4VptHpLaYlMRhet1ZNKBh4k,5,1.0
Roy Barnett Recital Hall,UBC School of Music,ChIJkfM3ALRyhlQRDxcQU-OZBiA,4.6,16.0
Royal City Musical Theatre Company,Royal City Musical Theatre Society,ChIJVY646th3hlQRMTHFV3uGpEo,3.7,6.0
Royal City Youth Ballet,Royal City Youth Ballet,ChIJh7oB-XHYhVQRuj_VgInotqc,5,1.0
Royal Principal Ballet Academy Ltd,Royal Principal Ballet Academy,ChIJo6E3LC7ZhVQROUcwXbSxaYk,5,1.0
Salmo Public Library,Salmo Public Library Assn,ChIJUWVpBDo6Y1MRbG_HWE-dC9I,4.3,3.0
Salmon Arm Branch,Salmon Arm Library | ORL Branch,ChIJU-3_2wr1flMRFDiykUb2nv8,4.9,7.0
Samson V Maritime Museum,Samson V Museum,ChIJQb557W_YhVQRZ3MARIzx_Go,4.4,21.0
Samson V Museum,Samson V Museum,ChIJQb557W_YhVQRZ3MARIzx_Go,4.4,21.0
Sardis Library,Sardis Library,ChIJ561AYjBHhFQRBrcyhgvYoNo,4.3,34.0
Satellite Gallery,Bill Reid Gallery Satellite Shop,ChIJK5sv1TtxhlQRXA1O3Eqwvio,5,1.0
Sayward Branch,Sayward Branch Library,ChIJAeheBMPYYlQRQmw9oT-iG84,no data,0.0
Science World At Telus World of Science,Science World,ChIJnZHwi2NxhlQRN3CYHzc3giE,4.5,8827.0
Scotiabank Dance Centre - Faris Family Studio,The Dance Centre,ChIJ1W0OFNRzhlQRkh6fdGecGxA,4.6,208.0
Seaforth Highlanders of Canada Regimental Museum And Archives,Seaforth Highlanders Regimental Museum,ChIJudf489JzhlQRXxtOxpMkQlc,4.8,10.0
Semiahmoo Library,Surrey Libraries - Semiahmoo Branch,ChIJy66MpmLDhVQRkL_-GdQoyJU,4.5,67.0
Seymour Art Gallery,Seymour Art Gallery,ChIJp52CC1J6hlQRaXrBznBC2ec,4.7,20.0
Shadows & Dreams Theatre Company,Walking Shadow Theatre Co,ChIJbzsp7pkys1IRvrbdSI-GoM4,5,16.0
Silk Purse Arts Centre,Silk Purse Arts Centre,ChIJFVgIZBpuhlQRyYpiMVZbf2U,4.1,21.0
Silvana Mcnulty Garden Gals,Arts Council of New Westminster,ChIJm9gL3eF3hlQRYLounZbUyJE,4.8,9.0
Simon Fraser Gallery,SFU Art Gallery,ChIJ3zZTl795hlQRe7RycIqHO4Q,3.6,7.0
Simon Fraser University Museum of Archaeology & Ethnology,Museum of Archaeology & Ethnology,ChIJ-_RV_sZ5hlQRzZg0ulZmBa8,4.3,64.0
Skwachàys Lodge Gallery,Skwachay's Lodge Urban Aboriginal Art Gallery,ChIJddQ0P3pxhlQRM9EcgtNdi7Y,4.3,33.0
Société Historique Francophone De La Colombie-Britannique,La Société historique francophone de la Colombie-Britannique,ChIJVVUV38dzhlQRXWYWGXQkSw8,no data,0.0
Sointula Branch,Vancouver Island Regional Library,ChIJ78W7sUR6Y1QRpvJWm2tUSDQ,5,2.0
South Hill,Mine Hill South,ChIJyaQHcXONfVMRbs9WSJ5JY9Q,no data,0.0
Spencer Goring,Vancouver Film School,ChIJ46SFnnlxhlQRqBXj77T3L6k,4.6,189.0
Spirit Wrestler Gallery,Spirit Wrestler Gallery,ChIJ6zQZQ3dxhlQR4TngdGMejyA,4.7,9.0
St James Community Square,St James Community Square,ChIJ8-LY5KpzhlQRjb7KYI2etJk,4.3,88.0
St. Roch National Historic Site C/O Vancouver Maritime Museum,St. Roch,ChIJ1Z9UgDRyhlQRDa5EUSNJuA8,4.8,14.0
Stagecoach Theatre Arts School,center stage performing arts academy vernon bc,ChIJ8TroA7XZfVMRjqYk_6a6JxY,no data,0.0
Stanley Park Nature House,Stanley Park Nature House on Lost Lagoon,ChIJcxJ3jIlxhlQRi5oOMHxmFPY,4.7,97.0
Steveston Museum And Visitor Centre,Tourism Richmond Visitor Centre,ChIJO0tJXtjhhVQRS8jDU5Pv2U8,4.4,14.0
Strathcona Branch,"Vancouver Public Library, nə́c̓aʔmat ct Strathcona Branch",ChIJe50bmW1xhlQRGZBG6AnoEZs,4.4,25.0
Studio Theatre At Surrey Arts Centre,Surrey Art Gallery & Surrey Arts Centre,ChIJ7Rrhz5TZhVQRBD5h5gs5pv8,4.4,454.0
Sum Gallery,Queer Arts Festival & SUM gallery,ChIJAQDA329xhlQRi5gRcGyzj64,4.8,8.0
Surrey Art Gallery,Surrey Art Gallery & Surrey Arts Centre,ChIJ7Rrhz5TZhVQRBD5h5gs5pv8,4.4,454.0
Surrey Little Theatre,Surrey Little Theatre,ChIJAYBGyUTQhVQRDat4r2ts-io,4.6,45.0
Surrey Museum & Archives,Surrey Archives,ChIJESujdqfahVQRYe0bXMJugsk,4.4,66.0
Susan Mccallum,UBC Okanagan,ChIJEfCRon3tfVMRpPGNBbl5qHw,4.4,132.0
Synthesis Consulting Ltd,Dobson Engineering Ltd,ChIJdZvRo5SMfVMRw_Npr0MYKwo,no data,0.0
Taylor Public Library,UBC Okanagan Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4,3.7,11.0
Teck Gallery,SFU Teck Gallery,ChIJF7DmYHhxhlQRBma1LSJ1750,no data,0.0
Terry Erickson,"Terry Erickson, DC",ChIJVz4Od8cM9ocRBOG3cewMXoM,no data,0.0
The Act Arts Centre & Theatre,The ACT Arts Centre,ChIJi_sBjF7ThVQRB7_aVA4h1KM,4.6,284.0
The Apartment,U-Two Apartments,ChIJu_qqUJvyfVMR1dKE2_4Onok,4.2,9.0
The Art of Law Gallery,Creative and Critical Studies,ChIJE5tAZILyfVMRAoR4BifSnA4,no data,0.0
The Bernie Legge Theatre,Bernie Legge Theatre,ChIJN06WngnYhVQRuDrjNx8E920,4.9,10.0
The Fort Gallery,Fort Gallery,ChIJZUjyL1nShVQRjYk17_A5OzA,4.5,11.0
The Ironworks Studio,The Ironworks,ChIJP1KRT3FxhlQR1xDp8iXxwW4,4.2,47.0
The Michael J Fox Theatre Society,Michael J Fox Theatre,ChIJ9baKDEd2hlQRUEl20T9jMaw,4.4,579.0
The Mojo Stars,,0,,
The Polygon Gallery,The Polygon Gallery,ChIJB5VO1kxwhlQRK20LBQy-CCo,4.4,222.0
The Royal Westminster Regiment Museum,The Museum of the Royal Westminster Regiment Historical Society,ChIJ5zj2mXPYhVQRE0rdictytQI,4.7,30.0
Tom Lee Music Recital Hall,Tom Lee Music Vancouver,ChIJf0VOf9VzhlQRguK2M4FaDqQ,3.5,208.0
Tommy Douglas Branch,"Burnaby Public Library, Tommy Douglas Library",ChIJqcsB8ct3hlQRqXJN1Gi9cow,4.4,112.0
Tommy Douglas Library,"Burnaby Public Library, Tommy Douglas Library",ChIJqcsB8ct3hlQRqXJN1Gi9cow,4.4,112.0
Tracey Lawrence Gallery,Lawrence Eng Gallery,ChIJlReH5chzhlQR4wx1XS5Nak4,no data,0.0
Trench Gallery,Trench Art Productions,ChIJWb41Qe-VwoAREYt8yMIFkWo,5,2.0
Trillium North Park,Trillium Park,ChIJqe3omWVxhlQRnQQZik9OmLk,4.2,384.0
Tumbler Ridge Public Library,Tumbler Ridge Public Library,ChIJ41T_cHctjlMRFs6kCypx3cc,3.7,6.0
Twilight Drive-In Theatre Ltd,Twilight Drive-In Theatre,ChIJPc3f7frLhVQR_B7AYacPZCA,4.7,1661.0
UBC Botanical Garden,UBC Botanical Garden,ChIJzfI36jINhlQRT_HCqL0fFeM,4.5,929.0
UBC Museum of Anthropology,Museum of Anthropology,ChIJrf8w27NyhlQR44St4PQccfY,4.7,3403.0
Underwater Archaeological Society of British Columbia,UBC Okanagan,ChIJEfCRon3tfVMRpPGNBbl5qHw,4.4,132.0
Unit/Pitt Projects,,0,,
United Church of Canada B.C. Conference Archives,BC Conference,ChIJ-YiVK2l2hlQRNwHiKTC6tr8,5,2.0
University of Bc: Charles Woodward Memorial Room,Woodward Library,ChIJ_1xQ1bdyhlQR8_ytCOZZlBI,3.8,8.0
University of British Columbia: Rare Books And Special Collections,University of British Columbia: Library Special Collections Division,ChIJyRgNg7ZyhlQRozfznVr93Xc,5,4.0
Uno Langmann Limited Fine Arts,Uno Langmann Limited Fine Art,ChIJIzcthMhzhlQRrRPzhF5ss9w,4.7,19.0
Vagabond Theatre/Fisheries Exibition Building,Vagabond Players Inc,ChIJFRh4yIEDyIkR79-VLPCCnLc,4.7,72.0
Valerie Mcrae,,0,,
Van Dop Gallery,Van Dop Gallery,ChIJ17y82fd3hlQRJNucsf4PppI,4.8,11.0
Van Dusen Botanical Garden,VanDusen Botanical Garden,ChIJwW3HeIZzhlQRVxJgWI8VjAg,4.6,6922.0
Vancity Theatre,Vancity Theatre – VIFF Centre,ChIJ9cRQO9RzhlQRcDd_iut2UH4,4.6,469.0
Vancouver Access Artist Run Centre,Access Artist-Run Centre,ChIJI_kXTHdxhlQRjSihNhSkWjw,4.5,2.0
Vancouver Art Gallery,Vancouver Art Gallery,ChIJwXz9f39xhlQRT3qxXAPDlbU,4.3,5823.0
Vancouver Art Gallery Offsite,Vancouver Art Gallery Offsite,ChIJC2a6pYFxhlQRUE-r4PRUkc8,4.5,23.0
Vancouver Biennale,Vancouver International Sculpture Biennale,ChIJ84iLI99zhlQRW_ZlNTWP8fA,4.8,12.0
Vancouver Contemporary Art Gallery,Contemporary Art Gallery,ChIJpWYR79VzhlQRYo-cR-_0ktg,3.9,197.0
Vancouver East Cultural Centre - Vancity Culture Lab,"Vancity Culture Lab, The Cultch",ChIJwXipwj1xhlQRdYmrhuSfVQc,4.8,8.0
Vancouver Holocaust Education Centre,Vancouver Holocaust Centre,ChIJexoR8Xh0hlQRcCjlkQHejk4,3.6,16.0
Vancouver Island University Museum of Natural History,Museum of Natural History,ChIJ_ZP-GPGjiFQRySEXJkDF6WM,4,1.0
Vancouver Maritime Museum,Vancouver Maritime Museum,ChIJiVHFdzNyhlQRjW3eJ2KKZM0,4.4,188.0
Vancouver Naval Museum,Naval Museum at H.M.C.S. Discovery,ChIJUcAHihBuhlQRNvdDAY0mXKo,4.6,42.0
Vancouver Playhouse Theatre,Vancouver Playhouse,ChIJrefVTXlxhlQRC_DwJyfCiUk,4.5,500.0
Vancouver Police Museum,Vancouver Police Museum & Archives,ChIJo3B9CHFxhlQRCmfgCcpG0BQ,4.2,408.0
Vancouver Public Library,Kelowna Rutland Library | ORL Branch,ChIJsVpklzuNfVMRyJykScwbw34,4.4,22.0
Vancouver Symphony Orchestra School of Music - Recital Hall (Pyatt Hall),Pyatt Hall at the VSO School Of Music,ChIJU78AMH5xhlQRJsUwPms458E,4.7,9.0
Vivo Media Arts Centre,VIVO Media Arts Centre,ChIJqV1Le2BxhlQR7B0Y7--RnxY,4.6,21.0
Vogue Theatre,Vogue Theatre,ChIJGRkFKn5xhlQRT4PdHofkZ5E,4.3,1615.0
Waterfront Theatre,Waterfront Theatre,ChIJa-uj485zhlQRBK6mZbG5I28,4.5,155.0
West Vancouver Museum,Art Museum | West Vancouver,ChIJnfYm3BBuhlQRPLNVGwgMURo,5,3.0
West Vancouver Museum And Archives,Art Museum | West Vancouver,ChIJnfYm3BBuhlQRPLNVGwgMURo,5,3.0
Western Front - Gallery,Western Front,ChIJMUTHbl9xhlQRrpkumTy2QaU,4.6,29.0
Western Front - Luxe Hall,Western Front,ChIJMUTHbl9xhlQRrpkumTy2QaU,4.6,29.0
Whistler Public Library,Whistler Public Library,ChIJTYeGC7M8h1QRhJn8ImdcWJI,4.7,54.0
White Rock Museum And Archives,White Rock Museum & Archives,ChIJp-cXznfDhVQR2sZybkviHTE,4.3,101.0
Wil Aballe Art Projects,Wil Aballe Art Projects | WAAP,ChIJg6ZZBYd-C0ERtvyitXbaJOw,4.3,10.0
Willowbrook Art Gallery,Willowbrook Art Gallery & Framing,ChIJkezPMSnQhVQRhYiDFiyB9UU,4.6,37.0
Winsor Gallery,Winsor Gallery,ChIJbSWU4b5zhlQRTUhxUCZCuvM,4.4,9.0
Wise Club Hall,The Wise,ChIJozmE7T1xhlQRt-UlKOC-wz4,4.5,251.0
Woodward's Atrium,Woodward's 43,ChIJo8K5knlxhlQRBkyzjcK92Bg,4.3,108.0
Woss Branch,Vancouver Island Regl Library - Woss Branch,ChIJlb5JzHEAY1QRgjcJ_n2Bbrk,5,1.0
Yarrow Library,Yarrow Library,ChIJa5aUHc9HhFQRkikK61az_Lk,5,5.0
York Theatre,"York Theatre, The Cultch",ChIJQY5X1xVxhlQRXcRkTyGbCbs,4.5,306.0
Yuk Yuk's Comedy Club,Yuk Yuk's Comedy Club Vancouver,ChIJuycZ1-dzhlQRSZsBQvvwklo,4.4,782.0
Zemi Cultural Heritage Services,,0,,
